n,TotalOps,Assignments,ArrayLookups,Comparisons,Arithmetic,MethodCalls,Returns
1,46,14,7,7,16,1,1
2,109,33,19,16,39,1,1
3,214,64,41,27,80,1,1
4,334,101,64,40,127,1,1
