Number of digits (n),Simple Multiplication,Karatsuba
2149,198683607,15803509
2150,198868531,15840921
2151,199053519,15854949
2152,199238591,15800273
2153,199423759,15858817
2154,199609012,15894773
2155,199794339,15887577
2156,199979757,15927801
2157,200165261,15915425
2158,200350861,15934289
2159,200536531,15927085
2160,200722304,15943453
2161,200908154,15953865
2162,201094076,16016045
2163,201280105,15946381
2164,201466208,15994061
2165,201652405,15976889
2166,201838685,16033301
2167,202025042,16024197
2168,202211507,16035885
2169,202398036,16020189
2170,202584665,16051177
2171,202771375,16087225
2172,202958177,16076005
2173,203145064,16060149
2174,203332011,16101465
2175,203519072,16124721
2176,203706215,16139833
2177,203893434,16163197
2178,204080757,16152525
2179,204268150,16182217
2180,204455634,16205757
2181,204643207,16174221
2182,204830860,16231525
2183,205018600,16197817
2184,205206417,16205381
2185,205394354,16213869
2186,205582356,16215733
2187,205770435,16228625
2188,205958611,16259741
2189,206146872,16256449
2190,206335205,16322285
2191,206523644,16249157
2192,206712151,16287661
2193,206900757,16333597
2194,207089441,16354717
2195,207278217,16340257
2196,207467072,16385085
2197,207656030,16320609
2198,207845052,16377089
2199,208034170,16370829
2200,208223377,16365673
2201,208412673,16416381
2202,208602047,16388425
2203,208791496,16459117
2204,208981057,16422921
2205,209170687,16435513
2206,209360404,16469825
2207,209550219,16472977
2208,209740111,16445701
2209,209930083,16515337
2210,210120160,16471497
2211,210310297,16484109
2212,210500531,16519273
2213,210690850,16552481
2214,210881261,16520045
2215,211071761,16565905
2216,211262335,16573145
2217,211452996,16608157
2218,211643755,16557613
2219,211834595,16561161
2220,212025514,16626605
2221,212216527,16621481
2222,212407618,16638261
2223,212598809,16599581
2224,212790075,16653597
2225,212981425,16649061
2226,213172858,16689373
2227,213364397,16655809
2228,213556002,16673301
2229,213747707,16719285
2230,213939485,16678585
2231,214131357,16710665
2232,214323311,16781565
2233,214515357,16768165
2234,214707481,16766213
2235,214899690,16758917
2236,215091992,16775093
2237,215284385,16790809
2238,215476852,16819713
2239,215669408,16781253
2240,215862046,16813253
2241,216054791,16810081
2242,216247609,16851081
2243,216440491,16873777
2244,216633495,16906201
2245,216826567,16894229
2246,217019725,16941049
2247,217212971,16939869
2248,217406305,16901257
2249,217599729,16946093
2250,217793224,16946113
2251,217986812,16981505
2252,218180497,17001937
2253,218374261,16947861
2254,218568103,16933381
2255,218762034,16975013
2256,218956059,17000225
2257,219150170,17018701
2258,219344348,17028605
2259,219538633,17072009
2260,219732997,17076025
2261,219927447,17023989
2262,220121987,17053485
2263,220316605,17045853
2264,220511315,17099229
2265,220706111,17128321
2266,220900987,17129221
2267,221095955,17144837
2268,221291003,17141177
2269,221486147,17189025
2270,221681365,17157421
2271,221876681,17183793
2272,222072070,17224361
2273,222267548,17195085
2274,222463121,17211841
2275,222658772,17195889
2276,222854512,17203485
2277,223050341,17240021
2278,223246243,17284777
2279,223442250,17267129
2280,223638344,17308985
2281,223834505,17293909
2282,224030765,17275285
2283,224227116,17321589
2284,224423533,17337601
2285,224620051,17373877
2286,224816649,17331505
2287,225013333,17365749
2288,225210100,17339233
2289,225406963,17398493
2290,225603902,17404425
2291,225800934,17418029
2292,225998057,17380225
2293,226195253,17437961
2294,226392549,17445625
2295,226589914,17474449
2296,226787374,17492233
2297,226984923,17521349
2298,227182559,17500997
2299,227380275,17505365
2300,227578083,17524505
2301,227775973,17512521
2302,227973949,17533821
2303,228172003,17560421
2304,228370157,17584601
2305,228568378,17513269
2306,228766709,17532377
2307,228965111,17613937
2308,229163611,17613585
2309,229362189,17629521
2310,229560851,17630077
2311,229759606,17642305
2312,229958435,17663329
2313,230157346,17695001
2314,230356363,17674813
2315,230555457,17670621
2316,230754641,17730545
2317,230953896,17691517
2318,231153250,17669273
2319,231352691,17725733
2320,231552217,17762041
2321,231751825,17749141
2322,231951523,17733421
2323,232151303,17789897
2324,232351168,17793009
2325,232551113,17826981
2326,232751164,17818397
2327,232951291,17816525
2328,233151502,17863257
2329,233351800,17856485
2330,233552189,17875889
2331,233752652,17859221
2332,233953213,17871949
2333,234153850,17888149
2334,234354587,17900885
2335,234555410,17897649
2336,234756294,17934369
2337,234957276,17974417
2338,235158343,17959773
2339,235359511,17947841
2340,235560757,18000669
2341,235762096,17977437
2342,235963509,18011901
2343,236165005,18001585
2344,236366591,17991373
2345,236568274,18018797
2346,236770022,18044229
2347,236971871,18036093
2348,237173805,18030297
2349,237375816,18076133
2350,237577931,18102889
2351,237780115,18112745
2352,237982390,18075241
2353,238184752,18132037
2354,238387194,18086677
2355,238589725,18156641
2356,238792357,18157533
2357,238995058,18132341
2358,239197857,18192253
2359,239400733,18209513
2360,239603692,18198433
2361,239806745,18161669
2362,240009885,18221097
2363,240213111,18194877
2364,240416406,18272777
2365,240619798,18237401
2366,240823285,18274801
2367,241026853,18250653
2368,241230502,18273785
2369,241434249,18283777
2370,241638073,18315193
2371,241841972,18329961
2372,242045968,18353381
2373,242250052,18373937
2374,242454229,18350117
2375,242658479,18372065
2376,242862817,18348545
2377,243067245,18386077
2378,243271753,18411037
2379,243476357,18452013
2380,243681035,18359221
2381,243885800,18442181
2382,244090667,18473461
2383,244295602,18436121
2384,244500631,18429989
2385,244705749,18479969
2386,244910945,18481073
2387,245116233,18501681
2388,245321605,18472885
2389,245527058,18511125
2390,245732609,18495617
2391,245938243,18541773
2392,246143959,18560485
2393,246349761,18532509
2394,246555636,18571713
2395,246761619,18607321
2396,246967679,18618157
2397,247173821,18598549
2398,247380048,18637725
2399,247586371,18587313
2400,247792779,18638229
2401,247999262,18664165
2402,248205831,18683585
2403,248412503,18671389
2404,248619250,18713093
2405,248826084,18668837
2406,249033007,18726397
2407,249240019,18769477
2408,249447109,18729349
2409,249654283,18753261
2410,249861544,18771209
2411,250068894,18783517
2412,250276326,18763533
2413,250483850,18816269
2414,250691469,18814033
2415,250899152,18848289
2416,251106939,18824045
2417,251314805,18851673
2418,251522759,18866821
2419,251730788,18874809
2420,251938910,18897109
2421,252147125,18866805
2422,252355418,18926909
2423,252563807,18904705
2424,252772275,18928565
2425,252980833,18974981
2426,253189455,18935077
2427,253398191,19003297
2428,253606994,18995745
2429,253815898,18982817
2430,254024887,19011645
2431,254233952,19028717
2432,254443113,19052029
2433,254652348,19082273
2434,254861687,19059717
2435,255071103,19080649
2436,255280592,19078525
2437,255490183,19091441
2438,255699850,19088773
2439,255909617,19127445
2440,256119448,19129913
2441,256329384,19161649
2442,256539398,19140773
2443,256749496,19153109
2444,256959691,19214673
2445,257169956,19219417
2446,257380325,19203893
2447,257590771,19210089
2448,257801300,19219921
2449,258011918,19233905
2450,258222624,19220449
2451,258433405,19260397
2452,258644288,19235637
2453,258855255,19285349
2454,259066303,19327745
2455,259277437,19307089
2456,259488666,19346533
2457,259699960,19332237
2458,259911344,19348865
2459,260122840,19365453
2460,260334394,19352589
2461,260546044,19411165
2462,260757774,19427657
2463,260969609,19421933
2464,261181519,19435377
2465,261393511,19463277
2466,261605593,19449477
2467,261817751,19486537
2468,262030003,19488573
2469,262242345,19457329
2470,262454764,19469201
2471,262667288,19518973
2472,262879873,19510501
2473,263092553,19510845
2474,263305321,19541421
2475,263518175,19558721
2476,263731123,19524501
2477,263944140,19572485
2478,264157262,19544889
2479,264370460,19579201
2480,264583737,19577677
2481,264797111,19608109
2482,265010569,19623733
2483,265224096,19648469
2484,265437724,19669073
2485,265651454,19650781
2486,265865251,19666621
2487,266079133,19719105
2488,266293107,19695933
2489,266507165,19696345
2490,266721300,19749001
2491,266935537,19717705
2492,267149857,19823121
2493,267364250,19812721
2494,267578738,19797597
2495,267793315,19796357
2496,268007972,19779249
2497,268222725,19851461
2498,268437550,19821201
2499,268652468,19834757
2500,268867479,19883281
2501,269082573,19860477
2502,269297743,19910117
2503,269513012,19899657
2504,269728351,19922241
2505,269943780,19906417
2506,270159307,19886045
2507,270374913,19896385
2508,270590605,19945533
2509,270806385,19945809
2510,271022240,19977789
2511,271238190,19969881
2512,271454233,19994209
2513,271670355,20022573
2514,271886567,20053125
2515,272102859,20006333
2516,272319239,20058933
2517,272535703,20042829
2518,272752253,20040721
2519,272968893,20007357
2520,273185619,20082305
2521,273402427,20111505
2522,273619330,20116745
2523,273836307,20107073
2524,274053373,20142785
2525,274270518,20139689
2526,274487765,20176965
2527,274705097,20169457
2528,274922502,20179481
2529,275140003,20200073
2530,275357580,20186325
2531,275575248,20200269
2532,275793008,20184065
2533,276010857,20225169
2534,276228781,20265337
2535,276446795,20290069
2536,276664899,20311893
2537,276883083,20266705
2538,277101359,20288881
2539,277319713,20326825
2540,277538154,20298285
2541,277756678,20338693
2542,277975300,20310421
2543,278194005,20290349
2544,278412793,20325233
2545,278631667,20411121
2546,278850620,20376249
2547,279069675,20411529
2548,279288803,20360273
2549,279508016,20463789
2550,279727333,20412209
2551,279946724,20433453
2552,280166191,20454153
2553,280385757,20464081
2554,280605398,20480153
2555,280825143,20473337
2556,281044952,20452765
2557,281264854,20466453
2558,281484857,20535909
2559,281704931,20544633
2560,281925095,20523669
2561,282145342,20529717
2562,282365681,20547841
2563,282586103,20554029
2564,282806611,20581645
2565,283027213,20559313
2566,283247882,20570881
2567,283468650,20612065
2568,283689503,20632905
2569,283910443,20641377
2570,284131460,20638353
2571,284352577,20641973
2572,284573777,20693549
2573,284795053,20669837
2574,285016423,20696969
2575,285237884,20661085
2576,285459423,20740717
2577,285681043,20728173
2578,285902752,20706297
2579,286124541,20738493
2580,286346434,20731597
2581,286568407,20695721
2582,286790461,20782561
2583,287012598,20791841
2584,287234837,20803765
2585,287457151,20836497
2586,287679553,20839005
2587,287902026,20847473
2588,288124594,20835065
2589,288347263,20878225
2590,288570009,20849985
2591,288792841,20863673
2592,289015753,20865721
2593,289238748,20891101
2594,289461838,20883101
2595,289685015,20872097
2596,289908277,20934605
2597,290131616,20911497
2598,290355050,20977889
2599,290578570,20972633
2600,290802183,21012001
2601,291025874,21008509
2602,291249643,21029925
2603,291473511,21032933
2604,291697453,20997821
2605,291921489,21006949
2606,292145616,21003481
2607,292369815,21090761
2608,292594096,21049625
2609,292818481,21052417
2610,293042951,21057797
2611,293267499,21073157
2612,293492131,21119049
2613,293716850,21148845
2614,293941667,21100633
2615,294166554,21175665
2616,294391543,21104901
2617,294616610,21157581
2618,294841755,21168481
2619,295066997,21159205
2620,295292306,21210041
2621,295517736,21203741
2622,295743220,21202021
2623,295968803,21182609
2624,296194475,21222137
2625,296420218,21240365
2626,296646067,21230909
2627,296871991,21230357
2628,297097998,21267701
2629,297324103,21309881
2630,297550287,21325981
2631,297776550,21283665
2632,298002910,21351925
2633,298229348,21308033
2634,298455887,21360137
2635,298682497,21371329
2636,298909199,21337721
2637,299135976,21374593
2638,299362857,21389969
2639,299589813,21385861
2640,299816855,21373033
2641,300043982,21416229
2642,300271205,21438969
2643,300498516,21427657
2644,300725897,21429873
2645,300953360,21411465
2646,301180931,21475985
2647,301408571,21490297
2648,301636311,21493209
2649,301864123,21592457
2650,302092034,21513169
2651,302320008,21530005
2652,302548091,21552229
2653,302776255,21537669
2654,303004496,21531353
2655,303232841,21546249
2656,303461259,21579461
2657,303689769,21606961
2658,303918357,21625321
2659,304147037,21607593
2660,304375803,21622561
2661,304604644,21674009
2662,304833574,21614573
2663,305062605,21686989
2664,305291701,21656645
2665,305520898,21709409
2666,305750184,21676005
2667,305979559,21696949
2668,306209014,21718101
2669,306438536,21711229
2670,306668167,21784401
2671,306897883,21745517
2672,307127662,21718061
2673,307357557,21741333
2674,307587521,21826365
2675,307817581,21805057
2676,308047724,21770221
2677,308277941,21822873
2678,308508261,21863885
2679,308738653,21853445
2680,308969139,21836741
2681,309199713,21901285
2682,309430363,21887469
2683,309661111,21887473
2684,309891937,21907877
2685,310122849,21914017
2686,310353856,21920397
2687,310584935,21904189
2688,310816111,21970161
2689,311047365,21940313
2690,311278705,22013905
2691,311510137,21927621
2692,311741660,21998905
2693,311973257,22028409
2694,312204934,21993037
2695,312436719,22031321
2696,312668575,22006381
2697,312900518,22051429
2698,313132553,22047169
2699,313364666,22078949
2700,313596877,22027985
2701,313829169,22127477
2702,314061541,22098237
2703,314294003,22086193
2704,314526550,22125197
2705,314759185,22156845
2706,314991907,22156753
2707,315224715,22126293
2708,315457598,22150289
2709,315690581,22171993
2710,315923644,22207937
2711,316156794,22223145
2712,316390037,22240473
2713,316623355,22234917
2714,316856758,22250437
2715,317090255,22251729
2716,317323830,22255905
2717,317557507,22309177
2718,317791246,22276801
2719,318025091,22341625
2720,318259012,22305453
2721,318493036,22275305
2722,318727127,22378041
2723,318961307,22388273
2724,319195573,22329801
2725,319429924,22383297
2726,319664360,22417221
2727,319898891,22434081
2728,320133507,22427401
2729,320368209,22419725
2730,320602989,22420761
2731,320837866,22437437
2732,321072813,22428889
2733,321307848,22490357
2734,321542974,22498781
2735,321778195,22501925
2736,322013497,22537581
2737,322248887,22512953
2738,322484344,22531917
2739,322719913,22525805
2740,322955559,22522077
2741,323191278,22550757
2742,323427094,22577285
2743,323663011,22599237
2744,323898999,22641873
2745,324135065,22598049
2746,324371233,22623017
2747,324607477,22630249
2748,324843803,22643841
2749,325080214,22718273
2750,325316722,22706525
2751,325553315,22751853
2752,325789997,22749501
2753,326026757,22743821
2754,326263601,22750433
2755,326500532,22817885
2756,326737563,22833773
2757,326974672,22846149
2758,327211857,22777629
2759,327449128,22806541
2760,327686499,22818729
2761,327923945,22843345
2762,328161483,22843593
2763,328399107,22885081
2764,328636810,22915121
2765,328874604,22904329
2766,329112487,22927029
2767,329350444,22921533
2768,329588509,22957861
2769,329826636,22930621
2770,330064869,23017853
2771,330303183,22963933
2772,330541571,22965025
2773,330780041,23033625
2774,331018621,22960949
2775,331257283,23019817
2776,331496008,23048201
2777,331734840,23071621
2778,331973752,23105005
2779,332212746,23097813
2780,332451835,23129685
2781,332691011,23149261
2782,332930269,23175885
2783,333169609,23171345
2784,333409031,23182409
2785,333648545,23209713
2786,333888144,23197693
2787,334127837,23242425
2788,334367600,23263417
2789,334607463,23259717
2790,334847402,23285385
2791,335087432,23289729
2792,335327559,23312141
2793,335567757,23318589
2794,335808036,23357669
2795,336048423,23357605
2796,336288877,23374949
2797,336529421,23408441
2798,336770062,23370345
2799,337010768,23424945
2800,337251579,23468613
2801,337492467,23466813
2802,337733434,23478017
2803,337974507,23458073
2804,338215657,23464941
2805,338456884,23509693
2806,338698200,23500529
2807,338939610,23551237
2808,339181098,23539713
2809,339422685,23551497
2810,339664347,23587305
2811,339906090,23596437
2812,340147937,23593781
2813,340389855,23608493
2814,340631869,23640457
2815,340873963,23646389
2816,341116137,23658729
2817,341358400,23720745
2818,341600759,23692309
2819,341843195,23714133
2820,342085723,23720061
2821,342328327,23750865
2822,342571025,23727261
2823,342813803,23770709
2824,343056677,23801181
2825,343299627,23782997
2826,343542665,23794629
2827,343785790,23866157
2828,344029003,23828725
2829,344272294,23863981
2830,344515676,23894861
2831,344759150,23857521
2832,345002713,23934181
2833,345246359,23975729
2834,345490080,23900393
2835,345733886,23966121
2836,345977799,23928325
2837,346221790,23986749
2838,346465859,24022137
2839,346710015,23987341
2840,346954259,23990713
2841,347198575,24081505
2842,347443003,24068837
2843,347687500,24078417
2844,347932088,24132841
2845,348176767,24122201
2846,348421531,24128653
2847,348666364,24133701
2848,348911309,24155285
2849,349156311,24174685
2850,349401429,24128777
2851,349646612,24225081
2852,349891902,24195989
2853,350137250,24205513
2854,350382700,24243765
2855,350628237,24299941
2856,350873852,24262441
2857,351119552,24277797
2858,351365357,24300469
2859,351611235,24349789
2860,351857195,24301897
2861,352103251,24335889
2862,352349385,24333629
2863,352595594,24408013
2864,352841917,24373741
2865,353088304,24439649
2866,353334784,24412533
2867,353581355,24431329
2868,353828005,24426537
2869,354074736,24465713
2870,354321573,24517417
2871,354568472,24474573
2872,354815464,24502745
2873,355062548,24580069
2874,355309725,24504221
2875,355556979,24554185
2876,355804317,24598249
2877,356051750,24590785
2878,356299255,24521097
2879,356546855,24613193
2880,356794532,24657577
2881,357042313,24645713
2882,357290163,24645289
2883,357538111,24649693
2884,357786133,24689869
2885,358034251,24649521
2886,358282449,24685449
2887,358530730,24735281
2888,358779107,24675213
2889,359027567,24747641
2890,359276113,24753765
2891,359524737,24780401
2892,359773457,24760809
2893,360022259,24807797
2894,360271150,24791181
2895,360520123,24824517
2896,360769183,24844957
2897,361018330,24827517
2898,361267557,24867289
2899,361516873,24896577
2900,361766279,24908109
2901,362015767,24966697
2902,362265341,24948097
2903,362514998,24916317
2904,362764751,24973689
2905,363014587,24961541
2906,363264505,25002393
2907,363514513,24975621
2908,363764607,25068517
2909,364014785,25003261
2910,364265045,25114153
2911,364515394,25091569
2912,364765833,25034829
2913,365016353,25039161
2914,365266961,25120829
2915,365517654,25127377
2916,365768443,25132533
2917,366019292,25203197
2918,366270253,25204717
2919,366521299,25202813
2920,366772417,25261057
2921,367023624,25227173
2922,367274927,25202205
2923,367526296,25282885
2924,367777773,25322405
2925,368029327,25324685
2926,368280971,25331245
2927,368532681,25341421
2928,368784507,25413017
2929,369036398,25391593
2930,369288380,25417285
2931,369540461,25464389
2932,369792613,25490221
2933,370044862,25499829
2934,370297185,25420249
2935,370549588,25515833
2936,370802099,25493701
2937,371054687,25596757
2938,371307359,25561385
2939,371560122,25542753
2940,371812961,25563997
2941,372065885,25622561
2942,372318900,25623913
2943,372572009,25660017
2944,372825199,25674909
2945,373078464,25689209
2946,373331824,25711437
2947,373585262,25747553
2948,373838809,25682261
2949,374092420,25727625
2950,374346134,25800621
2951,374599919,25724553
2952,374853797,25748889
2953,375107757,25816205
2954,375361803,25837049
2955,375615941,25825153
2956,375870150,25919065
2957,376124451,25822069
2958,376378857,25860229
2959,376633337,25950153
2960,376887897,25857753
2961,377142544,25962589
2962,377397276,25926977
2963,377652114,25942121
2964,377907013,25993777
2965,378162013,26001961
2966,378417089,26009169
2967,378672248,26022813
2968,378927505,26019665
2969,379182845,26002785
2970,379438267,26025021
2971,379693774,26115901
2972,379949373,26125217
2973,380205050,26121661
2974,380460827,26100045
2975,380716672,26165197
2976,380972619,26131037
2977,381228641,26196833
2978,381484761,26194877
2979,381740959,26204101
2980,381997241,26237501
2981,382253609,26253609
2982,382510060,26286321
2983,382766607,26292077
2984,383023237,26257977
2985,383279954,26228149
2986,383536753,26266173
2987,383793639,26278217
2988,384050598,26284225
2989,384307663,26337633
2990,384564802,26387321
2991,384822028,26289221
2992,385079350,26345649
2993,385336757,26402933
2994,385594247,26473789
2995,385851817,26440713
2996,386109468,26446593
2997,386367218,26498601
2998,386625052,26476773
2999,386882968,26524753
3000,387140977,26569221
3001,387399064,26597301
3002,387657247,26550449
3003,387915502,26620557
3004,388173841,26624741
3005,388432282,26658057
3006,388690800,26655269
3007,388949406,26685345
3008,389208105,26681689
3009,389466883,26679837
3010,389725744,26684481
3011,389984688,26725645
3012,390243742,26729821
3013,390502852,26753237
3014,390762067,26782025
3015,391021363,26822173
3016,391280744,26811021
3017,391540201,26861293
3018,391799762,26860137
3019,392059391,26893561
3020,392319115,26914165
3021,392578929,26881121
3022,392838814,26851093
3023,393098809,26916285
3024,393358871,26924673
3025,393619022,26968397
3026,393879267,26939385
3027,394139595,26948357
3028,394399996,26991869
3029,394660509,27015633
3030,394921089,26979193
3031,395181754,27027309
3032,395442513,27053829
3033,395703352,27002309
3034,395964283,27169497
3035,396225290,27083673
3036,396486403,27031901
3037,396747580,27157945
3038,397008859,27148721
3039,397270222,27122885
3040,397531657,27234233
3041,397793184,27169273
3042,398054800,27174833
3043,398316514,27179457
3044,398578299,27192797
3045,398840169,27249789
3046,399102124,27291581
3047,399364168,27324337
3048,399626309,27295549
3049,399888521,27312377
3050,400150827,27374017
3051,400413221,27228533
3052,400675695,27330713
3053,400938253,27376825
3054,401200907,27398289
3055,401463641,27413013
3056,401726459,27374813
3057,401989363,27440537
3058,402252350,27374329
3059,402515419,27419801
3060,402778601,27498313
3061,403041847,27537045
3062,403305180,27478617
3063,403568600,27428441
3064,403832108,27481785
3065,404095709,27526453
3066,404359382,27544989
3067,404623153,27610989
3068,404887011,27546501
3069,405150938,27573629
3070,405414960,27623797
3071,405679074,27607765
3072,405943277,27666597
3073,406207557,27672657
3074,406471918,27631797
3075,406736374,27707265
3076,407000923,27667409
3077,407265541,27759677
3078,407530253,27745805
3079,407795057,27742761
3080,408059928,27775209
3081,408324898,27824373
3082,408589961,27842869
3083,408855111,27853185
3084,409120330,27802185
3085,409385656,27895821
3086,409651051,27927421
3087,409916521,27891777
3088,410182116,27940629
3089,410447760,27935205
3090,410713504,27956717
3091,410979339,27935113
3092,411245257,27994189
3093,411511259,27942277
3094,411777340,27997989
3095,412043512,28024469
3096,412309777,28038381
3097,412576129,27960225
3098,412842559,28025529
3099,413109080,28031601
3100,413375677,28044081
3101,413642367,28142873
3102,413909143,28123321
3103,414176000,28124841
3104,414442953,28162841
3105,414709987,28108713
3106,414977107,28188301
3107,415244306,28256069
3108,415511609,28155257
3109,415778983,28173921
3110,416046444,28259117
3111,416314003,28231945
3112,416581635,28204989
3113,416849359,28270713
3114,417117163,28245761
3115,417385052,28326097
3116,417653028,28297621
3117,417921107,28340069
3118,418189261,28381061
3119,418457486,28367489
3120,418725821,28378701
3121,418994224,28412977
3122,419262720,28459929
3123,419531309,28407121
3124,419799966,28446793
3125,420068733,28460817
3126,420337564,28433065
3127,420606493,28505209
3128,420875500,28493973
3129,421144598,28446861
3130,421413798,28527213
3131,421683048,28544117
3132,421952408,28585205
3133,422221857,28532265
3134,422491385,28556565
3135,422760995,28571161
3136,423030694,28652441
3137,423300487,28709101
3138,423570353,28617545
3139,423840310,28637817
3140,424110350,28687433
3141,424380491,28710425
3142,424650691,28701557
3143,424921000,28760141
3144,425191393,28731097
3145,425461865,28802957
3146,425732424,28697597
3147,426003073,28729481
3148,426273807,28804505
3149,426544618,28858893
3150,426815533,28828157
3151,427086514,28867169
3152,427357590,28829861
3153,427628753,28853713
3154,427900003,28902381
3155,428171339,28930353
3156,428442757,28972157
3157,428714258,28941693
3158,428985852,28989653
3159,429257537,28942197
3160,429529299,29026865
3161,429801151,28972241
3162,430073076,29000573
3163,430345107,29054405
3164,430617219,29082005
3165,430889404,29007057
3166,431161685,29084905
3167,431434059,29093737
3168,431706502,29090793
3169,431979038,29079601
3170,432251656,29129301
3171,432524374,29149073
3172,432797179,29247073
3173,433070055,29229617
3174,433343018,29238257
3175,433616065,29239217
3176,433889217,29283489
3177,434162443,29253285
3178,434435757,29312737
3179,434709146,29322885
3180,434982635,29263377
3181,435256204,29337317
3182,435529860,29337957
3183,435803593,29397541
3184,436077430,29366637
3185,436351347,29429685
3186,436625353,29400309
3187,436899430,29439889
3188,437173612,29454765
3189,437447861,29420457
3190,437722214,29379157
3191,437996641,29476637
3192,438271159,29589917
3193,438545752,29438441
3194,438820445,29577089
3195,439095212,29554277
3196,439370084,29561557
3197,439645025,29612121
3198,439920059,29596945
3199,440195184,29554653
3200,440470377,29670661
3201,440745669,29629373
3202,441021038,29594793
3203,441296509,29687657
3204,441572046,29759653
3205,441847691,29673977
3206,442123420,29734573
3207,442399215,29738125
3208,442675103,29739141
3209,442951081,29790529
3210,443227145,29770137
3211,443503304,29775213
3212,443779533,29804549
3213,444055859,29820889
3214,444332265,29843413
3215,444608750,29786137
3216,444885339,29888677
3217,445162005,29889645
3218,445438752,29912429
3219,445715591,29873033
3220,445992515,29921109
3221,446269520,29895757
3222,446546630,30021997
3223,446823805,29999437
3224,447101077,30010577
3225,447378420,30006749
3226,447655869,30072649
3227,447933395,30022673
3228,448210993,30048441
3229,448488705,30038857
3230,448766482,30066429
3231,449044355,30092309
3232,449322311,30118285
3233,449600353,30165249
3234,449878487,30110941
3235,450156695,30190817
3236,450434994,30222305
3237,450713378,30191481
3238,450991859,30220957
3239,451270417,30199257
3240,451549048,30270801
3241,451827793,30282953
3242,452106607,30269921
3243,452385511,30313069
3244,452664495,30337337
3245,452943569,30323945
3246,453222711,30371745
3247,453501968,30343497
3248,453781305,30377349
3249,454060716,30400389
3250,454340229,30441625
3251,454619824,30365461
3252,454899486,30412781
3253,455179257,30451609
3254,455459100,30480497
3255,455739034,30497405
3256,456019057,30524881
3257,456299160,30545801
3258,456579357,30601117
3259,456859635,30597769
3260,457139995,30600205
3261,457420449,30616781
3262,457700983,30612409
3263,457981600,30629441
3264,458262302,30621125
3265,458543102,30632961
3266,458823993,30642097
3267,459104944,30715929
3268,459386000,30645209
3269,459667145,30700789
3270,459948371,30717997
3271,460229677,30762873
3272,460511075,30693085
3273,460792552,30809169
3274,461074118,30764897
3275,461355777,30816777
3276,461637512,30867113
3277,461919349,30820573
3278,462201253,30868137
3279,462483253,30934185
3280,462765335,30943325
3281,463047507,30924045
3282,463329765,30984909
3283,463612105,30966985
3284,463894539,31010505
3285,464177049,31041197
3286,464459649,30990721
3287,464742335,30971025
3288,465025114,30988521
3289,465307965,31017081
3290,465590900,31035173
3291,465873932,31092773
3292,466157042,31142761
3293,466440257,31078777
3294,466723547,31147357
3295,467006919,31163901
3296,467290372,31152989
3297,467573929,31177421
3298,467857546,31169829
3299,468141282,31197417
3300,468425077,31227949
3301,468708962,31214093
3302,468992945,31211229
3303,469277002,31251329
3304,469561151,31251109
3305,469845373,31301909
3306,470129698,31365101
3307,470414110,31322349
3308,470698603,31409793
3309,470983187,31412733
3310,471267851,31342553
3311,471552594,31414465
3312,471837439,31400017
3313,472122348,31422733
3314,472407358,31411845
3315,472692450,31460849
3316,472977632,31445141
3317,473262903,31409905
3318,473548252,31457197
3319,473833691,31531613
3320,474119215,31594921
3321,474404829,31492697
3322,474690520,31576433
3323,474976307,31609421
3324,475262180,31521345
3325,475548124,31571037
3326,475834171,31562849
3327,476120293,31643285
3328,476406509,31553565
3329,476692803,31647417
3330,476979189,31588873
3331,477265657,31715357
3332,477552217,31702397
3333,477838859,31616213
3334,478125585,31743161
3335,478412399,31776205
3336,478699294,31737793
3337,478986281,31737101
3338,479273350,31731941
3339,479560517,31789389
3340,479847748,31734285
3341,480135080,31827049
3342,480422505,31766345
3343,480710007,31771257
3344,480997590,31919833
3345,481285271,31875893
3346,481573029,31862833
3347,481860868,31891997
3348,482148809,31916037
3349,482436827,31929717
3350,482724922,31907053
3351,483013119,31935453
3352,483301400,31976009
3353,483589752,31996201
3354,483878201,31923113
3355,484166737,32000829
3356,484455366,31965685
3357,484744069,32049585
3358,485032857,32022373
3359,485321739,32040585
3360,485610692,32000593
3361,485899745,32083873
3362,486188890,32067785
3363,486478105,32133305
3364,486767417,32130517
3365,487056802,32127793
3366,487346293,32130645
3367,487635855,32198201
3368,487925503,32207525
3369,488215234,32172773
3370,488505056,32199077
3371,488794981,32164833
3372,489084979,32210929
3373,489375050,32237557
3374,489665216,32279893
3375,489955472,32274581
3376,490245815,32249801
3377,490536241,32329965
3378,490826755,32332225
3379,491117351,32344073
3380,491408025,32380397
3381,491698795,32365165
3382,491989652,32391261
3383,492280609,32409001
3384,492571639,32431701
3385,492862749,32423429
3386,493153944,32433545
3387,493445231,32479873
3388,493736603,32416789
3389,494028058,32475773
3390,494319605,32506565
3391,494611243,32466313
3392,494902944,32501945
3393,495194755,32514229
3394,495486649,32584697
3395,495778615,32513469
3396,496070675,32592485
3397,496362823,32522749
3398,496655052,32624433
3399,496947377,32672237
3400,497239783,32647177
3401,497532269,32638237
3402,497824838,32683589
3403,498117502,32664217
3404,498410255,32636913
3405,498703091,32745381
3406,498995995,32699625
3407,499289010,32775249
3408,499582109,32752689
3409,499875285,32700569
3410,500168544,32858785
3411,500461899,32749669
3412,500755340,32826849
3413,501048855,32869925
3414,501342458,32820417
3415,501636146,32841053
3416,501929930,32831765
3417,502223798,32890189
3418,502517762,32914913
