n,TotalOps,Assignments,ArrayLookups,Comparisons,Arithmetic,MethodCalls,Returns
1,82,27,13,15,25,1,1
2,249,77,54,37,79,1,1
3,507,154,120,67,163,1,1
4,853,257,212,105,276,1,1
5,1286,387,327,151,418,1,1
6,1807,543,468,205,588,1,1
7,2412,725,631,267,786,1,1
8,3104,933,819,337,1012,1,1
9,3885,1168,1032,415,1267,1,1
10,4747,1427,1268,501,1548,1,1
11,5697,1713,1528,595,1858,1,1
12,6734,2025,1812,697,2196,1,1
13,7854,2363,2119,807,2562,1,1
14,9062,2727,2451,925,2956,1,1
15,10355,3117,2807,1051,3377,1,1
16,11738,3533,3188,1185,3828,1,1
17,13202,3975,3591,1327,4306,1,1
18,14757,4444,4020,1477,4813,1,1
19,16393,4937,4472,1635,5346,1,1
20,18117,5457,4948,1801,5908,1,1
21,19926,6003,5447,1975,6498,1,1
22,21821,6575,5971,2157,7115,1,1
23,23805,7173,6520,2347,7762,1,1
24,25870,7797,7091,2545,8435,1,1
25,28024,8447,7687,2751,9137,1,1
26,30264,9123,8307,2965,9867,1,1
27,32592,9825,8951,3187,10626,1,1
28,35004,10553,9619,3417,11412,1,1
29,37502,11307,10311,3655,12225,1,1
30,40085,12087,11027,3901,13067,1,1
31,42756,12893,11767,4155,13938,1,1
32,45512,13725,12531,4417,14836,1,1
33,48352,14583,13319,4687,15761,1,1
34,51282,15467,14131,4965,16716,1,1
35,54297,16377,14968,5251,17698,1,1
36,57395,17313,15827,5545,18707,1,1
37,60583,18275,16712,5847,19746,1,1
38,63854,19263,17619,6157,20812,1,1
39,67212,20277,18551,6475,21905,1,1
40,70658,21318,19508,6801,23029,1,1
41,74188,22384,20488,7135,24179,1,1
42,77802,23475,21491,7477,25356,1,1
43,81504,24593,22519,7827,26562,1,1
44,85293,25737,23572,8185,27796,1,1
45,89165,26907,24647,8551,29057,1,1
46,93125,28103,25747,8925,30347,1,1
47,97171,29325,26871,9307,31665,1,1
48,101303,30573,28019,9697,33011,1,1
49,105523,31847,29192,10095,34386,1,1
50,109825,33147,30387,10501,35787,1,1
51,114221,34474,31609,10915,37220,1,1
52,118697,35826,32853,11337,38678,1,1
53,123252,37203,34119,11767,40161,1,1
54,127903,38607,35412,12205,41676,1,1
55,132634,40037,36727,12651,43217,1,1
56,137456,41493,38067,13105,44788,1,1
57,142367,42976,39433,13567,46388,1,1
58,147356,44484,40820,14037,48013,1,1
59,152432,46017,42231,14515,49666,1,1
60,157598,47577,43668,15001,51348,1,1
61,162848,49163,45128,15495,53058,1,1
62,168184,50776,46612,15997,54797,1,1
63,173603,52413,48119,16507,56561,1,1
64,179112,54077,49651,17025,58356,1,1
65,184708,55768,51208,17551,60179,1,1
66,190385,57483,52787,18085,62027,1,1
67,196151,59225,54391,18627,63905,1,1
68,202008,60994,56021,19177,65813,1,1
69,207943,62787,57672,19735,67746,1,1
70,213968,64607,59348,20301,69708,1,1
71,220071,66452,61046,20875,71696,1,1
72,226271,68325,62771,21457,73715,1,1
73,232559,70224,64521,22047,75764,1,1
74,238924,72148,66292,22645,77837,1,1
75,245375,74097,68087,23251,79937,1,1
76,251915,76073,69907,23865,82067,1,1
77,258540,78075,71751,24487,84225,1,1
78,265257,80104,73620,25117,86413,1,1
79,272052,82157,75511,25755,88626,1,1
80,278930,84236,77425,26401,90865,1,1
81,285905,86343,79367,27055,93137,1,1
82,292959,88474,81330,27717,95434,1,1
83,300108,90634,83321,28387,97764,1,1
84,307334,92818,85332,29065,100117,1,1
85,314639,95026,87365,29751,102495,1,1
86,322047,97263,89428,30445,104908,1,1
87,329535,99526,91512,31147,107347,1,1
88,337107,101814,93620,31857,109813,1,1
89,344761,104127,95751,32575,112305,1,1
90,352503,106466,97906,33301,114826,1,1
91,360334,108833,100087,34035,117377,1,1
92,368250,111225,102291,34777,119955,1,1
93,376256,113644,104520,35527,122563,1,1
94,384343,116087,106772,36285,125196,1,1
95,392521,118558,109049,37051,127860,1,1
96,400780,121054,111349,37825,130550,1,1
97,409124,123576,113672,38607,133267,1,1
98,417553,126123,116019,39397,136011,1,1
99,426071,128697,118391,40195,138785,1,1
100,434680,131298,120789,41001,141590,1,1
101,443370,133924,123209,41815,144419,1,1
102,452143,136575,125652,42637,147276,1,1
103,461006,139254,128120,43467,150163,1,1
104,469951,141957,130611,44305,153075,1,1
105,478985,144687,133127,45151,156017,1,1
106,488108,147443,135668,46005,158988,1,1
107,497313,150225,138232,46867,161986,1,1
108,506605,153033,140820,47737,165012,1,1
109,515983,155867,143432,48615,168066,1,1
110,525452,158728,146069,49501,171150,1,1
111,534999,161614,148728,50395,174259,1,1
112,544630,164525,151411,51297,177395,1,1
113,554360,167464,154121,52207,180564,1,1
114,564160,170427,156851,53125,183755,1,1
115,574055,173417,159607,54051,186977,1,1
116,584034,176433,162387,54985,190227,1,1
117,594100,179475,165191,55927,193505,1,1
118,604258,182544,168021,56877,196814,1,1
119,614489,185636,170870,57835,200144,1,1
120,624821,188758,173749,58801,203510,1,1
121,635224,191903,176647,59775,206897,1,1
122,645721,195075,179571,60757,210315,1,1
123,656304,198273,182519,61747,213762,1,1
124,666972,201497,185491,62745,217236,1,1
125,677723,204746,188486,63751,220736,1,1
126,688566,208023,191507,64765,224268,1,1
127,699494,211325,194552,65787,227826,1,1
128,710504,214653,197619,66817,231412,1,1
129,721604,218008,200712,67855,235027,1,1
130,732787,221387,203828,68901,238668,1,1
131,744057,224793,206968,69955,242338,1,1
132,755410,228225,210131,71017,246035,1,1
133,766856,231684,213320,72087,249763,1,1
134,778383,235167,216532,73165,253516,1,1
135,790002,238678,219769,74251,257300,1,1
136,801697,242213,223028,75345,261108,1,1
137,813481,245775,226311,76447,264945,1,1
138,825351,249362,229618,77557,268810,1,1
139,837308,252976,232950,78675,272704,1,1
140,849353,256616,236306,79801,276626,1,1
141,861488,260284,239688,80935,280579,1,1
142,873704,263976,243092,82077,284557,1,1
143,886006,267693,246520,83227,288562,1,1
144,898393,271437,249972,84385,292596,1,1
145,910860,275206,253445,85551,296655,1,1
146,923426,279003,256947,86725,300748,1,1
147,936072,282825,260471,87907,304866,1,1
148,948807,286674,264020,89097,309013,1,1
149,961622,290547,267591,90295,313186,1,1
150,974529,294448,271188,91501,317389,1,1
151,987517,298373,274808,92715,321618,1,1
152,1000593,302325,278452,93937,325876,1,1
153,1013756,306304,282120,95167,330163,1,1
154,1027002,310307,285811,96405,334476,1,1
155,1040336,314337,289527,97651,338818,1,1
156,1053754,318393,293267,98905,343187,1,1
157,1067264,322476,297032,100167,347587,1,1
158,1080855,326583,300820,101437,352012,1,1
159,1094529,330716,304630,102715,356464,1,1
160,1108297,334877,308468,104001,360948,1,1
161,1122145,339063,312327,105295,365457,1,1
162,1136081,343275,316211,106597,369995,1,1
163,1150105,347513,320120,107907,374562,1,1
164,1164212,351777,324051,109225,379156,1,1
165,1178405,356067,328007,110551,383777,1,1
166,1192680,360382,331985,111885,388425,1,1
167,1207054,364726,335992,113227,393107,1,1
168,1221507,369094,340020,114577,397813,1,1
169,1236046,373488,344073,115935,402548,1,1
170,1250668,377908,348148,117301,407309,1,1
171,1265378,382353,352248,118675,412098,1,1
172,1280176,386826,356373,120057,416917,1,1
173,1295054,391323,360519,121447,421762,1,1
174,1310024,395848,364692,122845,426637,1,1
175,1325074,400397,368887,124251,431537,1,1
176,1340216,404973,373107,125665,436468,1,1
177,1355444,409576,377352,127087,441427,1,1
178,1370757,414204,381620,128517,446413,1,1
179,1386152,418857,385911,129955,451426,1,1
180,1401633,423536,390226,131401,456466,1,1
181,1417208,428244,394568,132855,461539,1,1
182,1432864,432976,398932,134317,466637,1,1
183,1448603,437733,403319,135787,471761,1,1
184,1464433,442517,407732,137265,476916,1,1
185,1480346,447327,412167,138751,482098,1,1
186,1496348,452163,416628,140245,487308,1,1
187,1512434,457026,421112,141747,492547,1,1
188,1528604,461913,425619,143257,497812,1,1
189,1544862,466827,430151,144775,503106,1,1
190,1561204,471767,434707,146301,508427,1,1
191,1577634,476733,439287,147835,513777,1,1
192,1594152,481725,443891,149377,519156,1,1
193,1610752,486743,448519,150927,524561,1,1
194,1627443,491787,453172,152485,529996,1,1
195,1644218,496858,457848,154051,535459,1,1
196,1661077,501953,462548,155625,540948,1,1
197,1678018,507074,467270,157207,546464,1,1
198,1695055,512223,472020,158797,552012,1,1
199,1712172,517397,476791,160395,557586,1,1
200,1729378,522598,481588,162001,563189,1,1
201,1746664,527823,486407,163615,568817,1,1
202,1764040,533075,491251,165237,574475,1,1
203,1781505,538353,496120,166867,580162,1,1
204,1799054,543658,501012,168505,585877,1,1
205,1816684,548987,505927,170151,591617,1,1
206,1834409,554344,510868,171805,597389,1,1
207,1852214,559725,515832,173467,603186,1,1
208,1870106,565134,520820,175137,609013,1,1
209,1888083,570567,525832,176815,614866,1,1
210,1906146,576027,530867,178501,620748,1,1
211,1924297,581513,535928,180195,626658,1,1
212,1942533,587025,541012,181897,632596,1,1
213,1960854,592563,546119,183607,638562,1,1
214,1979264,598128,551252,185325,644557,1,1
215,1997758,603718,556408,187051,650579,1,1
216,2016334,609333,561587,188785,656627,1,1
217,2035004,614975,566792,190527,662706,1,1
218,2053756,620644,572020,192277,668813,1,1
219,2072593,626337,577272,194035,674946,1,1
220,2091518,632058,582548,195801,681109,1,1
221,2110525,637803,587847,197575,687297,1,1
222,2129620,643575,593171,199357,693515,1,1
223,2148800,649372,598518,201147,699760,1,1
224,2168074,655197,603892,202945,706036,1,1
225,2187422,661046,609286,204751,712336,1,1
226,2206871,666924,614709,206565,718670,1,1
227,2226395,672826,620152,208387,725027,1,1
228,2246003,678753,625619,210217,731411,1,1
229,2265701,684707,631111,212055,737825,1,1
230,2285483,690686,636626,213901,744266,1,1
231,2305358,696694,642168,215755,750739,1,1
232,2325316,702726,647733,217617,757238,1,1
233,2345353,708783,653319,219487,763761,1,1
234,2365479,714866,658930,221365,770314,1,1
235,2385698,720977,664568,223251,776898,1,1
236,2405999,727114,670228,225145,783509,1,1
237,2426387,733276,675913,227047,790148,1,1
238,2446850,739462,681618,228957,796810,1,1
239,2467414,745678,687352,230875,803507,1,1
240,2488051,751916,693106,232801,810226,1,1
241,2508789,758184,698888,234735,816979,1,1
242,2529603,764475,704692,236677,823756,1,1
243,2550507,770794,710520,238627,830563,1,1
244,2571495,777138,716372,240585,837397,1,1
245,2592567,783507,722248,242551,844258,1,1
246,2613726,789903,728147,244525,851148,1,1
247,2634969,796324,734070,246507,858064,1,1
248,2656302,802773,740019,248497,865011,1,1
249,2677716,809246,745989,250495,871983,1,1
250,2699232,815748,751989,252501,878990,1,1
251,2720818,822274,758008,254515,886019,1,1
252,2742494,828826,764052,256537,893077,1,1
253,2764252,835403,770119,258567,900161,1,1
254,2786100,842007,776211,260605,907275,1,1
255,2808035,848637,782327,262651,914417,1,1
256,2830054,855293,788467,264705,921587,1,1
257,2852164,861975,794632,266767,928786,1,1
258,2874355,868683,800820,268837,936012,1,1
259,2896631,875417,807031,270915,943265,1,1
260,2918996,882177,813267,273001,950548,1,1
261,2941442,888962,819526,275095,957856,1,1
262,2963983,895775,825812,277197,965196,1,1
263,2986599,902612,832118,279307,972560,1,1
264,3009308,909476,838450,281425,979954,1,1
265,3032109,916368,844808,283551,987379,1,1
266,3054985,923283,851187,285685,994827,1,1
267,3077955,930226,857592,287827,1002307,1,1
268,3101006,937194,864020,289977,1009813,1,1
269,3124143,944187,870472,292135,1017346,1,1
270,3147368,951207,876948,294301,1024908,1,1
271,3170676,958253,883447,296475,1032498,1,1
272,3194067,965324,889970,298657,1040113,1,1
273,3217556,972424,896520,300847,1047763,1,1
274,3241122,979547,903091,303045,1055436,1,1
275,3264776,986697,909687,305251,1063138,1,1
276,3288514,993873,916307,307465,1070867,1,1
277,3312344,1001075,922952,309687,1078626,1,1
278,3336254,1008303,929619,311917,1086412,1,1
279,3360248,1015556,936310,314155,1094224,1,1
280,3384333,1022836,943026,316401,1102066,1,1
281,3408508,1030143,949768,318655,1109938,1,1
282,3432764,1037476,956532,320917,1117837,1,1
283,3457102,1044833,963319,323187,1125761,1,1
284,3481533,1052217,970132,325465,1133716,1,1
285,3506048,1059628,976968,327751,1141699,1,1
286,3530643,1067062,983826,330045,1149706,1,1
287,3555330,1074525,990711,332347,1157745,1,1
288,3580100,1082012,997618,334657,1165810,1,1
289,3604960,1089527,1004551,336975,1173905,1,1
290,3629905,1097067,1011507,339301,1182027,1,1
291,3654937,1104633,1018488,341635,1190178,1,1
292,3680054,1112226,1025492,343977,1198357,1,1
293,3705253,1119843,1032519,346327,1206561,1,1
294,3730542,1127487,1039571,348685,1214796,1,1
295,3755916,1135157,1046647,351051,1223058,1,1
296,3781379,1142854,1053748,353425,1231349,1,1
297,3806924,1150576,1060872,355807,1239667,1,1
298,3832550,1158322,1068018,358197,1248010,1,1
299,3858271,1166097,1075191,360595,1256385,1,1
300,3884075,1173897,1082387,363001,1264787,1,1
301,3909970,1181724,1089609,365415,1273219,1,1
302,3935942,1189575,1096851,367837,1281676,1,1
303,3962006,1197454,1104120,370267,1290163,1,1
304,3988154,1205358,1111412,372705,1298677,1,1
305,4014387,1213287,1118728,375151,1307218,1,1
306,4040712,1221244,1126069,377605,1315790,1,1
307,4067113,1229225,1133432,380067,1324386,1,1
308,4093602,1237233,1140819,382537,1333011,1,1
309,4120186,1245268,1148233,385015,1341667,1,1
310,4146842,1253326,1155666,387501,1350346,1,1
311,4173599,1261414,1163128,389995,1359059,1,1
312,4200433,1269525,1170612,392497,1367796,1,1
313,4227356,1277664,1178120,395007,1376563,1,1
314,4254360,1285827,1185651,397525,1385355,1,1
315,4281458,1294018,1193208,400051,1394179,1,1
316,4308638,1302233,1200788,402585,1403028,1,1
317,4335901,1310475,1208391,405127,1411905,1,1
318,4363252,1318743,1216019,407677,1420811,1,1
319,4390693,1327037,1223672,410235,1429746,1,1
320,4418217,1335357,1231348,412801,1438708,1,1
321,4445828,1343703,1239048,415375,1447698,1,1
322,4473516,1352074,1246769,417957,1456713,1,1
323,4501306,1360474,1254520,420547,1465763,1,1
324,4529171,1368897,1262291,423145,1474835,1,1
325,4557127,1377347,1270088,425751,1483938,1,1
326,4585161,1385822,1277906,428365,1493065,1,1
327,4613295,1394326,1285752,430987,1502227,1,1
328,4641501,1402852,1293618,433617,1511410,1,1
329,4669802,1411407,1301511,436255,1520626,1,1
330,4698182,1419986,1309426,438901,1529866,1,1
331,4726653,1428592,1317366,441555,1539136,1,1
332,4755212,1437225,1325331,444217,1548436,1,1
333,4783854,1445883,1333319,446887,1557762,1,1
334,4812586,1454568,1341333,449565,1567117,1,1
335,4841398,1463278,1349368,452251,1576499,1,1
336,4870297,1472013,1357428,454945,1585908,1,1
337,4899279,1480774,1365510,457647,1595344,1,1
338,4928353,1489563,1373619,460357,1604811,1,1
339,4957513,1498377,1381752,463075,1614306,1,1
340,4986755,1507217,1389907,465801,1623827,1,1
341,5016085,1516083,1398087,468535,1633377,1,1
342,5045505,1524976,1406292,471277,1642957,1,1
343,5075001,1533892,1414518,474027,1652560,1,1
344,5104586,1542836,1422769,476785,1662193,1,1
345,5134272,1551808,1431049,479551,1671860,1,1
346,5164024,1560803,1439347,482325,1681547,1,1
347,5193874,1569826,1447672,485107,1691267,1,1
348,5223806,1578873,1456020,487897,1701012,1,1
349,5253824,1587948,1464392,490695,1710787,1,1
350,5283928,1597048,1472788,493501,1720589,1,1
351,5314117,1606173,1481208,496315,1730418,1,1
352,5344394,1615326,1489652,499137,1740277,1,1
353,5374755,1624503,1498120,501967,1750162,1,1
354,5405200,1633707,1506611,504805,1760075,1,1
355,5435741,1642938,1515129,507651,1770020,1,1
356,5466358,1652193,1523668,510505,1779988,1,1
357,5497064,1661476,1532232,513367,1789987,1,1
358,5527851,1670782,1540818,516237,1800010,1,1
359,5558729,1680116,1549430,519115,1810064,1,1
360,5589699,1689478,1558068,522001,1820149,1,1
361,5620746,1698863,1566727,524895,1830258,1,1
362,5651885,1708276,1575412,527797,1840397,1,1
363,5683104,1717713,1584119,530707,1850562,1,1
364,5714413,1727177,1592852,533625,1860756,1,1
365,5745807,1736667,1601608,536551,1870978,1,1
366,5777288,1746183,1610388,539485,1881228,1,1
367,5808854,1755726,1619192,542427,1891507,1,1
368,5840499,1765292,1628018,545377,1901809,1,1
369,5872246,1774888,1636873,548335,1912147,1,1
370,5904064,1784507,1645747,551301,1922507,1,1
371,5935976,1794153,1654647,554275,1932898,1,1
372,5967975,1803826,1663572,557257,1943317,1,1
373,6000053,1813523,1672519,560247,1953761,1,1
374,6032223,1823247,1681492,563245,1964236,1,1
375,6064477,1832997,1690488,566251,1974738,1,1
376,6096813,1842772,1699506,569265,1985266,1,1
377,6129240,1852575,1708551,572287,1995825,1,1
378,6161754,1862403,1717619,575317,2006412,1,1
379,6194352,1872257,1726711,578355,2017026,1,1
380,6227040,1882138,1735829,581401,2027670,1,1
381,6259806,1892043,1744967,584455,2038338,1,1
382,6292665,1901976,1754132,587517,2049037,1,1
383,6325600,1911932,1763318,590587,2059760,1,1
384,6358636,1921918,1772533,593665,2070518,1,1
385,6391749,1931928,1781768,596751,2081299,1,1
386,6424945,1941963,1791027,599845,2092107,1,1
387,6458233,1952025,1800312,602947,2102946,1,1
388,6491601,1962112,1809618,606057,2113810,1,1
389,6525063,1972227,1818952,609175,2124706,1,1
390,6558611,1982368,1828309,612301,2135630,1,1
391,6592237,1992533,1837688,615435,2146578,1,1
392,6625948,2002724,1847090,618577,2157554,1,1
393,6659756,2012943,1856520,621727,2168562,1,1
394,6693644,2023188,1865972,624885,2179597,1,1
395,6727615,2033457,1875447,628051,2190657,1,1
396,6761678,2043754,1884948,631225,2201749,1,1
397,6795825,2054076,1894472,634407,2212867,1,1
398,6830054,2064423,1904019,637597,2224012,1,1
399,6864370,2074797,1913591,640795,2235185,1,1
400,6898777,2085197,1923188,644001,2246388,1,1
401,6933271,2095624,1932809,647215,2257620,1,1
402,6967845,2106076,1942452,650437,2268877,1,1
403,7002506,2116553,1952120,653667,2280162,1,1
404,7037251,2127057,1961811,656905,2291475,1,1
405,7072081,2137586,1971526,660151,2302815,1,1
406,7107002,2148142,1981266,663405,2314186,1,1
407,7142014,2158725,1991032,666667,2325586,1,1
408,7177104,2169333,2000819,669937,2337012,1,1
409,7212281,2179967,2010631,673215,2348465,1,1
410,7247548,2190627,2020468,676501,2359948,1,1
411,7282896,2201313,2030327,679795,2371458,1,1
412,7318334,2212026,2040212,683097,2382997,1,1
413,7353857,2222764,2050120,686407,2394563,1,1
414,7389460,2233527,2060051,689725,2406155,1,1
415,7425158,2244318,2070008,693051,2417779,1,1
416,7460935,2255133,2079987,696385,2429427,1,1
417,7496805,2265976,2089992,699727,2441107,1,1
418,7532752,2276843,2100019,703077,2452811,1,1
419,7568786,2287736,2110069,706435,2464543,1,1
420,7604919,2298658,2120148,709801,2476309,1,1
421,7641124,2309603,2130247,713175,2488097,1,1
422,7677427,2320576,2140373,716557,2499918,1,1
423,7713802,2331573,2150519,719947,2511761,1,1
424,7750271,2342597,2160691,723345,2523635,1,1
425,7786826,2353647,2170887,726751,2535538,1,1
426,7823464,2364723,2181107,730165,2547467,1,1
427,7860197,2375826,2191353,733587,2559428,1,1
428,7897003,2386953,2201619,737017,2571411,1,1
429,7933900,2398107,2211911,740455,2583425,1,1
430,7970886,2409287,2222227,743901,2595468,1,1
431,8007956,2420493,2232567,747355,2607538,1,1
432,8045114,2431726,2242932,750817,2619637,1,1
433,8082348,2442982,2253317,754287,2631759,1,1
434,8119683,2454267,2263732,757765,2643916,1,1
435,8157101,2465578,2274169,761251,2656100,1,1
436,8194598,2476914,2284628,764745,2668309,1,1
437,8232185,2488276,2295112,768247,2680547,1,1
438,8269852,2499663,2305619,771757,2692811,1,1
439,8307611,2511077,2316151,775275,2705105,1,1
440,8345456,2522517,2326707,778801,2717428,1,1
441,8383386,2533983,2337287,782335,2729778,1,1
442,8421400,2545475,2347891,785877,2742155,1,1
443,8459508,2556994,2358521,789427,2754564,1,1
444,8497694,2568537,2369172,792985,2766996,1,1
445,8535965,2580107,2379847,796551,2779457,1,1
446,8574327,2591703,2390548,800125,2791948,1,1
447,8612774,2603326,2401272,803707,2804467,1,1
448,8651302,2614973,2412019,807297,2817011,1,1
449,8689922,2626647,2422791,810895,2829586,1,1
450,8728624,2638347,2433587,814501,2842187,1,1
451,8767414,2650073,2444407,818115,2854817,1,1
452,8806292,2661825,2455251,821737,2867476,1,1
453,8845252,2673603,2466119,825367,2880161,1,1
454,8884304,2685407,2477012,829005,2892876,1,1
455,8923436,2697237,2487927,832651,2905618,1,1
456,8962656,2709093,2498867,836305,2918388,1,1
457,9001957,2720974,2509830,839967,2931184,1,1
458,9041356,2732884,2520820,843637,2944013,1,1
459,9080829,2744816,2531830,847315,2956864,1,1
460,9120396,2756777,2542867,851001,2969748,1,1
461,9160047,2768763,2553928,854695,2982658,1,1
462,9199781,2780775,2565011,858397,2995595,1,1
463,9239608,2792814,2576121,862107,3008563,1,1
464,9279516,2804878,2587253,865825,3021558,1,1
465,9319508,2816967,2598408,869551,3034578,1,1
466,9359585,2829083,2609587,873285,3047627,1,1
467,9399753,2841225,2620792,877027,3060706,1,1
468,9440001,2853392,2632018,880777,3073810,1,1
469,9480344,2865587,2643272,884535,3086946,1,1
470,9520767,2877807,2654548,888301,3100108,1,1
471,9561272,2890052,2665846,892075,3113296,1,1
472,9601873,2902325,2677172,895857,3126516,1,1
473,9642551,2914622,2688518,899647,3139760,1,1
474,9683319,2926946,2699890,903445,3153034,1,1
475,9724173,2939296,2711286,907251,3166336,1,1
476,9765114,2951673,2722707,911065,3179667,1,1
477,9806142,2964075,2734151,914887,3193026,1,1
478,9847257,2976504,2745620,918717,3206413,1,1
479,9888455,2988958,2757112,922555,3219827,1,1
480,9929737,3001437,2768628,926401,3233268,1,1
481,9971103,3013942,2780166,930255,3246736,1,1
482,10012562,3026475,2791731,934117,3260236,1,1
483,10054107,3039034,2803320,937987,3273763,1,1
484,10095732,3051617,2814931,941865,3287316,1,1
485,10137450,3064228,2826569,945751,3300899,1,1
486,10179248,3076864,2838228,949645,3314509,1,1
487,10221130,3089525,2849911,953547,3328145,1,1
488,10263105,3102213,2861620,957457,3341812,1,1
489,10305164,3114928,2873352,961375,3355507,1,1
490,10347312,3127668,2885109,965301,3369230,1,1
491,10389537,3140433,2896888,969235,3382978,1,1
492,10431853,3153225,2908692,973177,3396756,1,1
493,10474253,3166043,2920519,977127,3410561,1,1
494,10516740,3178887,2932371,981085,3424395,1,1
495,10559317,3191757,2944248,985051,3438258,1,1
496,10601978,3204653,2956148,989025,3452148,1,1
497,10644725,3217576,2968072,993007,3466067,1,1
498,10687553,3230523,2980019,996997,3480011,1,1
499,10730473,3243497,2991992,1000995,3493986,1,1
500,10773479,3256498,3003988,1005001,3507989,1,1
501,10816564,3269523,3016007,1009015,3522017,1,1
502,10859747,3282576,3028053,1013037,3536078,1,1
503,10903011,3295655,3040122,1017067,3550165,1,1
504,10946350,3308757,3052211,1021105,3564275,1,1
505,10989793,3321889,3064330,1025151,3578421,1,1
506,11033311,3335044,3076469,1029205,3592590,1,1
507,11076920,3348227,3088634,1033267,3606789,1,1
508,11120603,3361433,3100819,1037337,3621011,1,1
509,11164387,3374668,3113033,1041415,3635268,1,1
510,11208247,3387927,3125268,1045501,3649548,1,1
511,11252203,3401215,3137530,1049595,3663861,1,1
512,11296237,3414526,3149813,1053697,3678198,1,1
513,11340357,3427864,3162120,1057807,3692563,1,1
514,11384547,3441224,3174446,1061925,3706949,1,1
515,11428850,3454616,3186805,1066051,3721375,1,1
516,11473237,3468033,3199188,1070185,3735828,1,1
517,11517703,3481475,3211592,1074327,3750306,1,1
518,11562262,3494945,3224022,1078477,3764815,1,1
519,11606899,3508439,3236474,1082635,3779349,1,1
520,11651614,3521957,3248947,1086801,3793907,1,1
521,11696429,3535504,3261448,1090975,3808499,1,1
522,11741320,3549075,3273971,1095157,3823115,1,1
523,11786302,3562673,3286519,1099347,3837761,1,1
524,11831375,3576298,3299092,1103545,3852437,1,1
525,11876529,3589948,3311688,1107751,3867139,1,1
526,11921764,3603623,3324307,1111965,3881867,1,1
527,11967095,3617326,3336952,1116187,3896627,1,1
528,12012509,3631054,3349621,1120417,3911414,1,1
529,12058005,3644808,3362312,1124655,3926227,1,1
530,12103587,3658587,3375028,1128901,3941068,1,1
531,12149261,3672394,3387769,1133155,3955940,1,1
532,12195011,3686225,3400531,1137417,3970835,1,1
533,12240859,3700084,3413321,1141687,3985764,1,1
534,12286783,3713967,3426132,1145965,4000716,1,1
535,12332801,3727878,3438969,1150251,4015700,1,1
536,12378894,3741813,3451827,1154545,4030707,1,1
537,12425087,3755776,3464713,1158847,4045748,1,1
538,12471352,3769763,3477619,1163157,4060811,1,1
539,12517702,3783775,3490548,1167475,4075901,1,1
540,12564157,3797817,3503508,1171801,4091028,1,1
541,12610680,3811882,3516485,1176135,4106175,1,1
542,12657307,3825976,3529493,1180477,4121358,1,1
543,12703996,3840091,3542517,1184827,4136558,1,1
544,12750797,3854238,3555573,1189185,4151798,1,1
545,12797669,3868408,3568648,1193551,4167059,1,1
546,12844631,3882604,3581749,1197925,4182350,1,1
547,12891675,3896826,3594872,1202307,4197667,1,1
548,12938812,3911075,3608022,1206697,4213015,1,1
549,12986021,3925347,3621191,1211095,4228385,1,1
550,13033331,3939648,3634389,1215501,4243790,1,1
551,13080712,3953972,3647606,1219915,4259216,1,1
552,13128193,3968325,3660852,1224337,4274676,1,1
553,13175753,3982703,3674119,1228767,4290161,1,1
554,13223400,3997107,3687411,1233205,4305675,1,1
555,13271139,4011538,3700728,1237651,4321219,1,1
556,13318966,4025995,3714071,1242105,4336792,1,1
557,13366856,4040474,3727429,1246567,4352383,1,1
558,13414857,4054984,3740820,1251037,4368013,1,1
559,13462939,4069519,3754234,1255515,4383669,1,1
560,13511097,4084077,3767668,1260001,4399348,1,1
561,13559345,4098663,3781127,1264495,4415057,1,1
562,13607681,4113275,3794611,1268997,4430795,1,1
563,13656102,4127913,3808119,1273507,4446561,1,1
564,13704608,4142576,3821650,1278025,4462354,1,1
565,13753213,4157269,3835210,1282551,4478181,1,1
566,13801887,4171983,3848788,1287085,4494028,1,1
567,13850651,4186725,3862391,1291627,4509905,1,1
568,13899505,4201493,3876020,1296177,4525812,1,1
569,13948443,4216287,3889672,1300735,4541746,1,1
570,13997460,4231106,3903345,1305301,4557705,1,1
571,14046572,4245952,3917046,1309875,4573696,1,1
572,14095773,4260825,3930772,1314457,4589716,1,1
573,14145062,4275725,3944522,1319047,4605765,1,1
574,14194423,4290647,3958292,1323645,4621836,1,1
575,14243874,4305597,3972087,1328251,4637937,1,1
576,14293417,4320573,3985908,1332865,4654068,1,1
577,14343045,4335576,3999752,1337487,4670227,1,1
578,14392753,4350603,4013619,1342117,4686411,1,1
579,14442553,4365657,4027512,1346755,4702626,1,1
580,14492435,4380737,4041427,1351401,4718867,1,1
581,14542411,4395844,4055369,1356055,4735140,1,1
582,14592469,4410977,4069334,1360717,4751439,1,1
583,14642602,4426133,4083319,1365387,4767761,1,1
584,14692830,4441317,4097331,1370065,4784115,1,1
585,14743147,4456527,4111368,1374751,4800498,1,1
586,14793554,4471765,4125430,1379445,4816911,1,1
587,14844037,4487026,4139513,1384147,4833348,1,1
588,14894605,4502313,4153620,1388857,4849812,1,1
589,14945261,4517627,4167751,1393575,4866305,1,1
590,14996007,4532967,4181908,1398301,4882828,1,1
591,15046834,4548333,4196087,1403035,4899377,1,1
592,15097753,4563725,4210292,1407777,4915956,1,1
593,15148753,4579143,4224519,1412527,4932561,1,1
594,15199845,4594588,4238772,1417285,4949197,1,1
595,15251015,4610057,4253047,1422051,4965857,1,1
