n,TotalOps,Assignments,ArrayLookups,Comparisons,Arithmetic,MethodCalls,Returns
5759,1426412136,431233918,398039033,132721915,464417267,1,1
5760,1426907497,431383677,398177268,132768001,464578548,1,1
5761,1427402956,431533465,398315531,132814095,464739862,1,1
5762,1427898480,431683275,398453811,132860197,464901195,1,1
5763,1428394105,431833113,398592120,132906307,465062562,1,1
5764,1428889810,431982977,398730451,132952425,465223955,1,1
5765,1429385598,432132865,398868805,132998551,465385374,1,1
5766,1429881496,432282785,399007191,133044685,465546832,1,1
5767,1430377453,432432725,399145592,133090827,465708306,1,1
5768,1430873496,432582691,399284017,133136977,465869808,1,1
5769,1431369643,432732687,399422472,133183135,466031346,1,1
5770,1431865867,432882707,399560948,133229301,466192908,1,1
5771,1432362174,433032753,399699447,133275475,466354497,1,1
5772,1432858573,433182825,399837972,133321657,466516116,1,1
5773,1433355055,433332923,399976520,133367847,466677762,1,1
5774,1433851620,433483047,400115091,133414045,466839435,1,1
5775,1434348268,433633195,400253685,133460251,467001134,1,1
5776,1434845017,433783373,400392308,133506465,467162868,1,1
5777,1435341837,433933574,400530950,133552687,467324623,1,1
5778,1435838761,434083805,400669622,133598917,467486415,1,1
5779,1436335744,434234055,400808309,133645155,467648222,1,1
5780,1436832834,434384337,400947027,133691401,467810067,1,1
5781,1437330010,434534644,401085769,133737655,467971939,1,1
5782,1437827260,434684975,401224531,133783917,468133835,1,1
5783,1438324584,434835329,401363313,133830187,468295753,1,1
5784,1438822027,434985716,401502130,133876465,468457713,1,1
5785,1439319550,435136128,401640969,133922751,468619699,1,1
5786,1439817141,435286562,401779826,133969045,468781705,1,1
5787,1440314830,435437025,401918711,134015347,468943745,1,1
5788,1440812593,435587511,402057616,134061657,469105807,1,1
5789,1441310466,435738028,402196553,134107975,469267907,1,1
5790,1441808410,435888568,402335509,134154301,469430029,1,1
5791,1442306431,436039132,402474486,134200635,469592175,1,1
5792,1442804547,436189724,402613490,134246977,469754353,1,1
5793,1443302758,436340344,402752521,134293327,469916563,1,1
5794,1443801055,436490990,402891576,134339685,470078801,1,1
5795,1444299423,436641659,403030650,134386051,470241061,1,1
5796,1444797871,436792352,403169746,134432425,470403345,1,1
