Number of digits (n),Total Primitive Operations,Assignments,Comparisons,Additions,Subtractions,Multiplications,Divisions,Modulos,MethodCalls,Returns
2606,21003481,7430637,3017343,1395955,558382,1675147,2458959,837573,2233529,1395956
2607,21090761,7460483,3029131,1402225,560890,1682671,2468239,841335,2243561,1402226
2608,21049625,7446669,3023759,1399155,559662,1678987,2464095,839493,2238649,1399156
2609,21052417,7447977,3024393,1399195,559678,1679035,2464713,839517,2238713,1399196
2610,21057797,7450062,3025298,1399470,559788,1679365,2465508,839682,2239153,1399471
2611,21073157,7455652,3027618,1400420,560168,1680505,2467448,840252,2240673,1400421
2612,21119049,7471195,3033707,1403785,561514,1684543,2472191,842271,2246057,1403786
2613,21148845,7481693,3037956,1405785,562314,1686943,2475640,843471,2249257,1405786
2614,21100633,7464858,3031191,1402480,560992,1682977,2470197,841488,2243969,1402481
2615,21175665,7490978,3041661,1407660,563064,1689193,2478595,844596,2252257,1407661
2616,21104901,7466607,3031978,1402655,561062,1683187,2470914,841593,2244249,1402656
2617,21157581,7485489,3039724,1406045,562418,1687255,2477304,843627,2249673,1406046
2618,21168481,7489036,3041065,1406910,562764,1688293,2478299,844146,2251057,1406911
2619,21159205,7486158,3040026,1406110,562444,1687333,2477580,843666,2249777,1406111
2620,21210041,7503392,3046783,1409830,563932,1691797,2482849,845898,2255729,1409831
2621,21203741,7501683,3046256,1409175,563670,1691011,2482584,845505,2254681,1409176
2622,21202021,7500471,3045570,1409335,563734,1691203,2481834,845601,2254937,1409336
2623,21182609,7494175,3043197,1407785,563114,1689343,2480081,844671,2252457,1407786
2624,21222137,7508208,3048911,1410390,564156,1692469,2484753,846234,2256625,1410391
2625,21240365,7514737,3051588,1411565,564626,1693879,2486960,846939,2258505,1411566
2626,21230909,7510955,3049912,1411135,564454,1693363,2485456,846681,2257817,1411136
2627,21230357,7511713,3050526,1410665,564266,1692799,2486258,846399,2257065,1410666
2628,21267701,7523818,3055086,1413650,565460,1696381,2489624,848190,2261841,1413651
2629,21309881,7539463,3061671,1416125,566450,1699351,2495219,849675,2265801,1416126
2630,21325981,7544741,3063680,1417385,566954,1700863,2496724,850431,2267817,1417386
2631,21283665,7530612,3058213,1414190,565676,1697029,2492535,848514,2262705,1414191
2632,21351925,7554358,3067726,1418910,567564,1702693,2500160,851346,2270257,1418911
2633,21308033,7539298,3061761,1415780,566312,1698937,2495447,849468,2265249,1415781
2634,21360137,7557177,3068843,1419495,567798,1703395,2501043,851697,2271193,1419496
2635,21371329,7560474,3069969,1420540,568216,1704649,2501751,852324,2272865,1420541
2636,21337721,7549478,3065791,1417900,567160,1701481,2498629,850740,2268641,1417901
2637,21374593,7562084,3070769,1420550,568220,1704661,2502547,852330,2272881,1420551
2638,21389969,7567440,3072917,1421610,568644,1705933,2504271,852966,2274577,1421611
2639,21385861,7566046,3072370,1421310,568524,1705573,2503844,852786,2274097,1421311
2640,21373033,7562195,3071027,1420145,568058,1704175,2502967,852087,2272233,1420146
2641,21416229,7577413,3077186,1423045,569218,1707655,2507966,853827,2276873,1423046
2642,21438969,7584878,3080031,1424820,569928,1709785,2510101,854892,2279713,1424821
2643,21427657,7581202,3078643,1423920,569568,1708705,2509073,854352,2278273,1423921
2644,21429873,7582035,3078997,1424045,569618,1708855,2509377,854427,2278473,1424046
2645,21411465,7576197,3076843,1422515,569006,1707019,2507835,853509,2276025,1422516
2646,21475985,7597666,3085125,1427420,570968,1712905,2514155,856452,2283873,1427421
2647,21490297,7603535,3087767,1428005,571202,1713607,2516563,856803,2284809,1428006
2648,21493209,7604177,3087903,1428375,571350,1714051,2516551,857025,2285401,1428376
2649,21592457,7638379,3101499,1435385,574154,1722463,2527343,861231,2296617,1435386
2650,21513169,7611880,3091237,1429410,571764,1715293,2519471,857646,2287057,1429411
2651,21530005,7617845,3093662,1430525,572210,1716631,2521450,858315,2288841,1430526
2652,21552229,7625492,3096698,1432100,572840,1718521,2523856,859260,2291361,1432101
2653,21537669,7620588,3094786,1431020,572408,1717225,2522376,858612,2289633,1431021
2654,21531353,7618607,3094063,1430485,572194,1716583,2521867,858291,2288777,1430486
2655,21546249,7623745,3096107,1431535,572614,1717843,2523491,858921,2290457,1431536
2656,21579461,7635192,3100658,1433880,573552,1720657,2527104,860328,2294209,1433881
2657,21606961,7644421,3104245,1435935,574374,1723123,2529869,861561,2297497,1435936
2658,21625321,7651643,3107411,1436825,574730,1724191,2532679,862095,2298921,1436826
2659,21607593,7645100,3104667,1435770,574308,1722925,2530357,861462,2297233,1435771
2660,21622561,7650725,3107057,1436615,574646,1723939,2532409,861969,2298585,1436616
2661,21674009,7668881,3114415,1440055,576022,1728067,2538391,864033,2304089,1440056
2662,21614573,7647292,3105468,1436360,574544,1723633,2530922,861816,2298177,1436361
2663,21686989,7673127,3116028,1441075,576430,1729291,2539596,864645,2305721,1441076
2664,21656645,7662586,3111810,1438970,575588,1726765,2536220,863382,2302353,1438971
2665,21709409,7680696,3118985,1442730,577092,1731277,2541891,865638,2308369,1442731
2666,21676005,7669747,3114818,1440115,576046,1728139,2538770,864069,2304185,1440116
2667,21696949,7677095,3117782,1441535,576614,1729843,2541166,864921,2306457,1441536
2668,21718101,7684173,3120526,1443125,577250,1731751,2543274,865875,2309001,1443126
2669,21711229,7682145,3119832,1442485,576994,1730983,2542836,865491,2307977,1442486
2670,21784401,7707434,3129909,1447620,579048,1737145,2550859,868572,2316193,1447621
2671,21745517,7694042,3124588,1444870,577948,1733845,2546638,866922,2311793,1444871
2672,21718061,7684857,3121028,1442805,577122,1731367,2543904,865683,2308489,1442806
2673,21741333,7692863,3124206,1444455,577782,1733347,2546422,866673,2311129,1444456
2674,21826365,7721860,3135632,1450600,580240,1740721,2555390,870360,2320961,1450601
2675,21805057,7715628,3133521,1448590,579436,1738309,2554083,869154,2317745,1448591
2676,21770221,7703204,3128444,1446320,578528,1735585,2549914,867792,2314113,1446321
2677,21822873,7721533,3135791,1449955,579982,1739947,2555807,869973,2319929,1449956
2678,21863885,7735153,3141036,1453085,581234,1743703,2559800,871851,2324937,1453086
2679,21853445,7731902,3139858,1452190,580876,1742629,2558980,871314,2323505,1452191
2680,21836741,7726355,3137722,1450915,580366,1741099,2557354,870549,2321465,1450916
2681,21901285,7749266,3147050,1455170,582068,1746205,2564980,873102,2328273,1455171
2682,21887469,7744283,3144996,1454295,581718,1745155,2563276,872577,2326873,1454296
2683,21887473,7744516,3145165,1454190,581676,1745029,2563487,872514,2326705,1454191
2684,21907877,7751638,3148026,1455590,582236,1746709,2565788,873354,2328945,1455591
2685,21914017,7753828,3148921,1455990,582396,1747189,2566523,873594,2329585,1455991
2686,21920397,7756435,3150092,1456255,582502,1747507,2567588,873753,2330009,1456256
2687,21904189,7750135,3147352,1455435,582174,1746523,2565176,873261,2328697,1455436
2688,21970161,7773474,3156829,1459820,583928,1751785,2572899,875892,2335713,1459821
2689,21940313,7763511,3152975,1457565,583026,1749079,2569947,874539,2332105,1457566
2690,22013905,7788394,3162709,1462980,585192,1755577,2577515,877788,2340769,1462981
2691,21927621,7759013,3151146,1456725,582690,1748071,2568454,874035,2330761,1456726
2692,21998905,7783952,3161183,1461590,584636,1753909,2576545,876954,2338545,1461591
2693,22028409,7794293,3165351,1463595,585438,1756315,2579911,878157,2341753,1463596
2694,21993037,7781788,3160276,1461240,584496,1753489,2575778,876744,2337985,1461241
2695,22031321,7795100,3165607,1463890,585556,1756669,2580049,878334,2342225,1463891
2696,22006381,7787140,3162652,1461840,584736,1754209,2577914,877104,2338945,1461841
2697,22051429,7802789,3168914,1464965,585986,1757959,2582926,878979,2343945,1464966
2698,22047169,7801044,3168129,1464790,585916,1757749,2582211,878874,2343665,1464791
2699,22078949,7812347,3172738,1466875,586750,1760251,2585986,880125,2347001,1466876
2700,22027985,7795071,3165965,1463145,585258,1755775,2580705,877887,2341033,1463146
2701,22127477,7829362,3179598,1470170,588068,1764205,2591528,882102,2352273,1470171
2702,22098237,7819692,3175888,1467920,587168,1761505,2588718,880752,2348673,1467921
2703,22086193,7814979,3173829,1467325,586930,1760791,2586897,880395,2347721,1467326
2704,22125197,7828783,3179436,1469915,587966,1763899,2591468,881949,2351865,1469916
2705,22156845,7839921,3183940,1472045,588818,1766455,2595120,883227,2355273,1472046
2706,22156753,7839589,3183709,1472175,588870,1766611,2594837,883305,2355481,1472176
2707,22126293,7829342,3179718,1469910,587964,1763893,2591752,881946,2351857,1469911
2708,22150289,7837490,3182917,1471660,588664,1765993,2594251,882996,2354657,1471661
2709,22171993,7845746,3186455,1472840,589136,1767409,2597317,883704,2356545,1472841
2710,22207937,7857437,3190873,1475695,590278,1770835,2600593,885417,2361113,1475696
2711,22223145,7863259,3193379,1476505,590602,1771807,2602775,885903,2362409,1476506
2712,22240473,7868799,3195439,1477925,591170,1773511,2604267,886755,2364681,1477926
2713,22234917,7867374,3195034,1477310,590924,1772773,2604108,886386,2363697,1477311
2714,22250437,7873077,3197418,1478245,591298,1773895,2606118,886947,2365193,1478246
2715,22251729,7873481,3197565,1478355,591342,1774027,2606221,887013,2365369,1478356
2716,22255905,7875074,3198249,1478580,591432,1774297,2606815,887148,2365729,1478581
2717,22309177,7892811,3205095,1482625,593050,1779151,2612043,889575,2372201,1482626
2718,22276801,7882321,3201145,1480035,592014,1776043,2609129,888021,2368057,1480036
2719,22341625,7905009,3210279,1484455,593782,1781347,2616495,890673,2375129,1484456
2720,22305453,7892511,3205300,1481915,592766,1778299,2612532,889149,2371065,1481916
2721,22275305,7882706,3201595,1479520,591808,1775425,2609785,887712,2367233,1479521
2722,22378041,7917816,3215455,1486910,594764,1784293,2620689,892146,2379057,1486911
2723,22388273,7921029,3216629,1487775,595110,1785331,2621517,892665,2380441,1487776
2724,22329801,7900736,3208515,1483710,593484,1780453,2615029,890226,2373937,1483711
2725,22383297,7919300,3215937,1487430,594972,1784917,2620963,892458,2379889,1487431
2726,22417221,7931565,3221002,1489565,595826,1787479,2625174,893739,2383305,1489566
2727,22434081,7938037,3223793,1490455,596182,1788547,2627609,894273,2384729,1490456
2728,22427401,7935005,3222347,1490315,596126,1788379,2626219,894189,2384505,1490316
2729,22419725,7932223,3221196,1489835,595934,1787803,2625260,893901,2383737,1489836
2730,22420761,7933489,3221999,1489495,595798,1787395,2626199,893697,2383193,1489496
2731,22437437,7939231,3224280,1490675,596270,1788811,2628008,894405,2385081,1490676
2732,22428889,7936420,3223207,1490010,596004,1788013,2627201,894006,2384017,1490011
2733,22490357,7958057,3231958,1494145,597658,1792975,2634298,896487,2390633,1494146
2734,22498781,7960762,3232968,1494830,597932,1793797,2635034,896898,2391729,1494831
2735,22501925,7962015,3233522,1494975,597990,1793971,2635530,896985,2391961,1494976
2736,22537581,7974112,3238268,1497580,599032,1797097,2639234,898548,2396129,1497581
2737,22512953,7966319,3235399,1495525,598210,1794631,2637187,897315,2392841,1495526
2738,22531917,7972611,3237820,1496975,598790,1796371,2639028,898185,2395161,1496976
2739,22525805,7970589,3237044,1496505,598602,1795807,2638440,897903,2394409,1496506
2740,22522077,7969418,3236616,1496190,598476,1795429,2638138,897714,2393905,1496191
2741,22550757,7979336,3240570,1498200,599280,1797841,2641288,898920,2397121,1498201
2742,22577285,7989102,3244658,1499790,599916,1799749,2644740,899874,2399665,1499791
2743,22599237,7996316,3247410,1501500,600600,1801801,2646808,900900,2402401,1501501
2744,22641873,8010737,3253053,1504635,601854,1805563,2651197,902781,2407417,1504636
2745,22598049,7995975,3247297,1501385,600554,1801663,2646741,900831,2402217,1501386
2746,22623017,8004829,3250899,1503035,601214,1803643,2649683,901821,2404857,1503036
2747,22630249,8007675,3252147,1503385,601354,1804063,2650791,902031,2405417,1503386
2748,22643841,8011985,3253737,1504515,601806,1805419,2651929,902709,2407225,1504516
2749,22718273,8038124,3264289,1509550,603820,1811461,2660467,905730,2415281,1509551
2750,22706525,8034494,3262984,1508530,603412,1810237,2659570,905118,2413649,1508531
2751,22751853,8049876,3269020,1511840,604736,1814209,2664282,907104,2418945,1511841
2752,22749501,8049129,3268744,1511645,604658,1813975,2664084,906987,2418633,1511646
2753,22743821,8047741,3268380,1510985,604394,1813183,2663984,906591,2417577,1510986
2754,22750433,8049881,3269185,1511515,604606,1813819,2664577,906909,2418425,1511516
2755,22817885,8072673,3278096,1516485,606594,1819783,2671500,909891,2426377,1516486
2756,22833773,8078879,3280804,1517275,606910,1820731,2673892,910365,2427641,1517276
2757,22846149,8083164,3282514,1518140,607256,1821769,2675256,910884,2429025,1518141
2758,22777629,8059596,3273160,1513280,605312,1815937,2667846,907968,2421249,1513281
2759,22806541,8070147,3277548,1515055,606022,1818067,2671524,909033,2424089,1515056
2760,22818729,8073733,3278771,1516195,606478,1819435,2672291,909717,2425913,1516196
2761,22843345,8082741,3282525,1517695,607078,1821235,2675445,910617,2428313,1517696
2762,22843593,8083195,3282827,1517545,607018,1821055,2675807,910527,2428073,1517546
2763,22885081,8097295,3288367,1520565,608226,1824679,2680139,912339,2432905,1520566
2764,22915121,8107739,3292549,1522645,609058,1827175,2683489,913587,2436233,1522646
2765,22904329,8104246,3291235,1521780,608712,1826137,2682521,913068,2434849,1521781
2766,22927029,8112417,3294598,1523225,609290,1827871,2685306,913935,2437161,1523226
2767,22921533,8110219,3293624,1522975,609190,1827571,2684432,913785,2436761,1522976
2768,22957861,8123466,3299130,1525210,610084,1830253,2689044,915126,2440337,1525211
2769,22930621,8114015,3295352,1523315,609326,1827979,2686024,913989,2437305,1523316
2770,23017853,8144607,3307688,1529235,611694,1835083,2695992,917541,2446777,1529236
2771,22963933,8125699,3300064,1525575,610230,1830691,2689832,915345,2440921,1525576
2772,22965025,8126168,3300281,1525610,610244,1830733,2690035,915366,2440977,1525611
2773,23033625,8150084,3309879,1530330,612132,1836397,2697745,918198,2448529,1530331
2774,22960949,8124845,3299782,1525285,610114,1830343,2689666,915171,2440457,1525286
2775,23019817,8145259,3307939,1529385,611754,1835263,2696183,917631,2447017,1529386
2776,23048201,8155040,3311827,1531390,612556,1837669,2699269,918834,2450225,1531391
2777,23071621,8163120,3315042,1533040,613216,1839649,2701824,919824,2452865,1533041
2778,23105005,8174708,3319676,1535360,614144,1842433,2705530,921216,2456577,1535361
2779,23097813,8173081,3319310,1534465,613786,1841359,2705522,920679,2455145,1534466
2780,23129685,8183055,3322942,1537175,614870,1844611,2708070,922305,2459481,1537176
2781,23149261,8190324,3326004,1538320,615328,1845985,2710674,922992,2461313,1538321
2782,23175885,8200270,3330212,1539850,615940,1847821,2714270,923910,2463761,1539851
2783,23171345,8198528,3329461,1539610,615844,1847533,2713615,923766,2463377,1539611
2784,23182409,8202850,3331347,1540160,616064,1848193,2715281,924096,2464257,1540161
2785,23209713,8211772,3334733,1542310,616924,1850773,2717807,925386,2467697,1542311
2786,23197693,8207819,3333224,1541375,616550,1849651,2716672,924825,2466201,1541376
2787,23242425,8223277,3339383,1544515,617806,1853419,2721575,926709,2471225,1544516
2788,23263417,8230671,3342375,1545925,618370,1855111,2724003,927555,2473481,1545926
2789,23259717,8229756,3342130,1545500,618200,1854601,2723928,927300,2472801,1545501
2790,23285385,8238839,3345819,1547205,618882,1856647,2726935,928323,2475529,1547206
2791,23289729,8239713,3345961,1547795,619118,1857355,2726841,928677,2476473,1547796
2792,23312141,8248070,3349492,1549090,619636,1858909,2729854,929454,2478545,1549091
2793,23318589,8250513,3350536,1549445,619778,1859335,2730756,929667,2479113,1549446
2794,23357669,8263585,3355602,1552385,620954,1862863,2734646,931431,2483817,1552386
2795,23357605,8264136,3356010,1552120,620848,1862545,2735160,931272,2483393,1552121
2796,23374949,8269761,3358130,1553505,621402,1864207,2736726,932103,2485609,1553506
2797,23408441,8281700,3363007,1555690,622276,1866829,2740729,933414,2489105,1555691
2798,23370345,8268658,3357851,1552960,621184,1863553,2736665,931776,2484737,1552961
2799,23424945,8287763,3365541,1556685,622674,1868023,2742865,934011,2490697,1556686
2800,23468613,8303184,3371794,1559600,623840,1871521,2747952,935760,2495361,1559601
2801,23466813,8302438,3371456,1559530,623812,1871437,2747642,935718,2495249,1559531
2802,23478017,8306533,3373161,1560215,624086,1872259,2749073,936129,2496345,1560216
2803,23458073,8299091,3370015,1559065,623626,1870879,2746387,935439,2494505,1559066
2804,23464941,8302228,3371516,1559200,623680,1871041,2747834,935520,2494721,1559201
2805,23509693,8317399,3377464,1562475,624990,1874971,2752472,937485,2499961,1562476
2806,23500529,8314434,3376349,1561740,624696,1874089,2751651,937044,2498785,1561741
2807,23551237,8332253,3383546,1565165,626066,1878199,2757478,939099,2504265,1565166
2808,23539713,8328240,3381937,1564370,625748,1877245,2756187,938622,2502993,1564371
2809,23551497,8332383,3383611,1565165,626066,1878199,2757543,939099,2504265,1565166
2810,23587305,8344886,3388635,1567620,627048,1881145,2761585,940572,2508193,1567621
2811,23596437,8347670,3389622,1568430,627372,1882117,2762248,941058,2509489,1568431
2812,23593781,8347431,3389750,1567935,627174,1881523,2762574,940761,2508697,1567936
2813,23608493,8352510,3391772,1568970,627588,1882765,2764182,941382,2510353,1568971
2814,23640457,8363289,3395979,1571335,628534,1885603,2767443,942801,2514137,1571336
2815,23646389,8366695,3397782,1571135,628454,1885363,2769326,942681,2513817,1571136
2816,23658729,8370324,3399019,1572290,628916,1886749,2770101,943374,2515665,1572291
2817,23720745,8391432,3407323,1576790,630716,1892149,2776605,946074,2522865,1576791
2818,23692309,8381999,3403694,1574615,629846,1889539,2773846,944769,2519385,1574616
2819,23714133,8389798,3406886,1576030,630412,1891237,2776472,945618,2521649,1576031
2820,23720061,8391783,3407656,1576475,630590,1891771,2777064,945885,2522361,1576476
2821,23750865,8402268,3411781,1578710,631484,1894453,2780295,947226,2525937,1578711
2822,23727261,8394921,3409120,1576685,630674,1892023,2778444,946011,2522697,1576686
2823,23770709,8409363,3414686,1579995,631998,1895995,2782686,947997,2527993,1579996
2824,23801181,8420155,3419072,1582015,632806,1898419,2786264,949209,2531225,1582016
2825,23782997,8414132,3416758,1580620,632248,1896745,2784508,948372,2528993,1580621
2826,23794629,8418001,3418250,1581505,632602,1897807,2785646,948903,2530409,1581506
2827,23866157,8443062,3428348,1586370,634548,1903645,2793798,951822,2538193,1586371
2828,23828725,8430198,3423246,1583710,633484,1900453,2789760,950226,2533937,1583711
2829,23863981,8442458,3428156,1586150,634460,1903381,2793694,951690,2537841,1586151
2830,23894861,8452618,3432036,1588550,635420,1906261,2796614,953130,2541681,1588551
2831,23857521,8439360,3426637,1586090,634436,1903309,2792199,951654,2537745,1586091
2832,23934181,8466712,3437818,1591080,636432,1909297,2801384,954648,2545729,1591081
2833,23975729,8481007,3443493,1594025,637610,1912831,2805881,956415,2550441,1594026
2834,23900393,8455538,3433531,1588480,635392,1906177,2798137,953088,2541569,1588481
2835,23966121,8478007,3442403,1593205,637282,1911847,2805119,955923,2549129,1593206
2836,23928325,8464774,3437074,1590630,636252,1908757,2800820,954378,2545009,1590631
2837,23986749,8485549,3445544,1594465,637786,1913359,2807756,956679,2551145,1594466
2838,24022137,8498040,3450607,1596830,638732,1916197,2811873,958098,2554929,1596831
2839,23987341,8486945,3446492,1593965,637586,1912759,2808904,956379,2550345,1593966
2840,23990713,8486981,3446135,1594715,637886,1913659,2808247,956829,2551545,1594716
2841,24081505,8518253,3458561,1601135,640454,1921363,2818105,960681,2561817,1601136
2842,24068837,8514482,3457258,1599970,639988,1919965,2817268,959982,2559953,1599971
2843,24078417,8517853,3458621,1600615,640246,1920739,2818373,960369,2560985,1600616
2844,24132841,8536837,3466243,1604355,641742,1925227,2824499,962613,2566969,1604356
2845,24122201,8533101,3464735,1603635,641454,1924363,2823279,962181,2565817,1603636
2846,24128653,8535260,3465572,1604120,641648,1924945,2823922,962472,2566593,1604121
2847,24133701,8536464,3465874,1604720,641888,1925665,2823984,962832,2567553,1604721
2848,24155285,8544066,3468950,1606170,642468,1927405,2826480,963702,2569873,1606171
2849,24174685,8551709,3472304,1607105,642842,1928527,2829460,964263,2571369,1607106
2850,24128777,8536125,3466187,1603755,641502,1924507,2824683,962253,2566009,1603756
2851,24225081,8569713,3479671,1610375,644150,1932451,2835519,966225,2576601,1610376
2852,24195989,8559468,3475526,1608420,643368,1930105,2832156,965052,2573473,1608421
2853,24205513,8563119,3477099,1608925,643570,1930711,2833527,965355,2574281,1608926
2854,24243765,8576030,3482142,1611750,644700,1934101,2837440,967050,2578801,1611751
2855,24299941,8595263,3489746,1615775,646310,1938931,2843434,969465,2585241,1615776
2856,24262441,8582805,3484947,1612915,645166,1935499,2839779,967749,2580665,1612916
2857,24277797,8587678,3486746,1614190,645676,1937029,2841068,968514,2582705,1614191
2858,24300469,8595956,3490190,1615580,646232,1938697,2843956,969348,2584929,1615581
2859,24349789,8612366,3496520,1619330,647732,1943197,2848786,971598,2590929,1619331
2860,24301897,8596483,3490411,1615665,646266,1938799,2844143,969399,2585065,1615666
2861,24335889,8608144,3495029,1618090,647236,1941709,2847791,970854,2588945,1618091
2862,24333629,8608224,3495344,1617540,647016,1941049,2848326,970524,2588065,1617541
2863,24408013,8632865,3504812,1623245,649298,1947895,2855512,973947,2597193,1623246
2864,24373741,8621383,3500356,1620675,648270,1944811,2852084,972405,2593081,1620676
2865,24439649,8644129,3509409,1625315,650126,1950379,2859281,975189,2600505,1625316
2866,24412533,8635059,3505894,1623275,649310,1947931,2856582,973965,2597241,1623276
2867,24431329,8642246,3508985,1624280,649712,1949137,2859271,974568,2598849,1624281
2868,24426537,8640576,3508315,1623950,649580,1948741,2858733,974370,2598321,1623951
2869,24465713,8654323,3513861,1626605,650642,1951927,2863217,975963,2602569,1626606
2870,24517417,8671199,3520259,1630685,652274,1956823,2867983,978411,2609097,1630686
2871,24474573,8657532,3515188,1627160,650864,1952593,2864322,976296,2603457,1627161
2872,24502745,8667526,3519255,1629020,651608,1954825,2867645,977412,2606433,1629021
2873,24580069,8693703,3529506,1634695,653878,1961635,2875626,980817,2615513,1634696
2874,24504221,8667736,3519240,1629260,651704,1955113,2867534,977556,2606817,1629261
2875,24554185,8685348,3526371,1632610,653044,1959133,2873325,979566,2612177,1632611
2876,24598249,8700285,3532227,1635835,654334,1963003,2877891,981501,2617337,1635836
2877,24590785,8697664,3531169,1635330,654132,1962397,2877035,981198,2616529,1635331
2878,24521097,8674051,3521915,1630225,652090,1956271,2869823,978135,2608361,1630226
2879,24613193,8705623,3534411,1636805,654722,1964167,2879687,982083,2618889,1636806
2880,24657577,8721523,3540931,1639665,655866,1967599,2885063,983799,2623465,1639666
2881,24645713,8717439,3539309,1638825,655530,1966591,2883777,983295,2622121,1638826
2882,24645289,8717557,3539443,1638675,655470,1966411,2883971,983205,2621881,1638676
2883,24649693,8719220,3540152,1638920,655568,1966705,2884582,983352,2622273,1638921
2884,24689869,8732719,3545404,1641915,656766,1970299,2888636,985149,2627065,1641916
2885,24649521,8719134,3540109,1638920,655568,1966705,2884539,983352,2622273,1638921
2886,24685449,8731059,3544699,1641665,656666,1969999,2888031,984999,2626665,1641666
2887,24735281,8749067,3552133,1644805,657922,1973767,2894209,986883,2631689,1644806
2888,24675213,8728130,3543732,1640670,656268,1968805,2887462,984402,2625073,1640671
2889,24747641,8753091,3553655,1645785,658314,1974943,2895339,987471,2633257,1645786
2890,24753765,8755735,3554882,1645975,658390,1975171,2896490,987585,2633561,1645976
2891,24780401,8764708,3558381,1647950,659180,1977541,2899199,988770,2636721,1647951
2892,24760809,8757728,3555531,1646670,658668,1976005,2896861,988002,2634673,1646671
2893,24807797,8774391,3562310,1649775,659910,1979731,2902398,989865,2639641,1649776
2894,24791181,8768998,3560276,1648450,659380,1978141,2900894,989070,2637521,1648451
2895,24824517,8780474,3564834,1650810,660324,1980973,2904508,990486,2641297,1650811
2896,24844957,8787295,3567472,1652355,660942,1982827,2906528,991413,2643769,1652356
2897,24827517,8781457,3565208,1651045,660418,1981255,2904788,990627,2641673,1651046
2898,24867289,8795535,3570927,1653685,661474,1984423,2909451,992211,2645897,1653686
2899,24896577,8805306,3574705,1655900,662360,1987081,2912343,993540,2649441,1655901
2900,24908109,8809928,3576756,1656420,662568,1987705,2914186,993852,2650273,1656421
2901,24966697,8830037,3584723,1660595,664238,1992715,2920483,996357,2656953,1660596
2902,24948097,8823531,3582105,1659325,663730,1991191,2918373,995595,2654921,1659326
2903,24916317,8813284,3578264,1656760,662704,1988113,2915558,994056,2650817,1656761
2904,24973689,8833027,3586103,1660825,664330,1992991,2921771,996495,2657321,1660826
2905,24961541,8828570,3584242,1660090,664036,1992109,2920204,996054,2656145,1660091
2906,25002393,8842836,3589975,1662890,665156,1995469,2924817,997734,2660625,1662891
2907,24975621,8833707,3586378,1660955,664382,1993147,2921994,996573,2657529,1660956
2908,25068517,8865899,3599234,1667435,666974,2000923,2932258,1000461,2667897,1667436
2909,25003261,8843732,3590528,1662680,665072,1995217,2925454,997608,2660289,1662681
2910,25114153,8881457,3605363,1670735,668294,2004883,2937067,1002441,2673177,1670736
2911,25091569,8874543,3602901,1668745,667498,2002495,2935401,1001247,2669993,1668746
2912,25034829,8855028,3595156,1664720,665888,1997665,2929266,998832,2663553,1664721
2913,25039161,8857183,3596231,1664725,665890,1997671,2930339,998835,2663561,1664726
2914,25120829,8884696,3606960,1670780,668312,2004937,2938646,1002468,2673249,1670781
2915,25127377,8886529,3607549,1671435,668574,2005723,2938973,1002861,2674297,1671436
2916,25132533,8889316,3608990,1671340,668536,2005609,2940452,1002804,2674145,1671341
2917,25203197,8913087,3618248,1676595,670638,2011915,2947608,1005957,2682553,1676596
2918,25204717,8914881,3619380,1676125,670450,2011351,2948928,1005675,2681801,1676126
2919,25202813,8913412,3618528,1676360,670544,2011633,2947982,1005816,2682177,1676361
2920,25261057,8933723,3626681,1680365,672146,2016439,2954533,1008219,2688585,1680366
2921,25227173,8921940,3621962,1678020,671208,2013625,2950752,1006812,2684833,1678021
2922,25202205,8913515,3618672,1676175,670470,2011411,2948200,1005705,2681881,1676176
2923,25282885,8941436,3629810,1681820,672728,2018185,2957080,1009092,2690913,1681821
2924,25322405,8955113,3635266,1684585,673834,2021503,2961430,1010751,2695337,1684586
2925,25324685,8956440,3635972,1684500,673800,2021401,2962170,1010700,2695201,1684501
2926,25331245,8959159,3637204,1684755,673902,2021707,2963300,1010853,2695609,1684756
2927,25341421,8962256,3638300,1685660,674264,2022793,2964034,1011396,2697057,1685661
2928,25413017,8987472,3648503,1690470,676188,2028565,2972313,1014282,2704753,1690471
2929,25391593,8979796,3645355,1689090,675636,2026909,2969717,1013454,2702545,1689091
2930,25417285,8988275,3648602,1691075,676430,2029291,2972170,1014645,2705721,1691076
2931,25464389,9004897,3655338,1694225,677690,2033071,2977646,1016535,2710761,1694226
2932,25490221,9014392,3659308,1695780,678312,2034937,2980994,1017468,2713249,1695781
2933,25499829,9017524,3660494,1696540,678616,2035849,2981876,1017924,2714465,1696541
2934,25420249,8990307,3649743,1690825,676330,2028991,2973411,1014495,2705321,1690826
2935,25515833,9023854,3663279,1697300,678920,2036761,2984357,1018380,2715681,1697301
2936,25493701,9016198,3660226,1695750,678300,2034901,2981924,1017450,2713201,1695751
2937,25596757,9051567,3674238,1703095,681238,2043715,2992998,1021857,2724953,1703096
2938,25561385,9039986,3669835,1700320,680128,2040385,2989705,1020192,2720513,1700321
2939,25542753,9032947,3666833,1699285,679714,2039143,2987117,1019571,2718857,1699286
2940,25563997,9040907,3670208,1700495,680198,2040595,2990008,1020297,2720793,1700496
2941,25622561,9060806,3678025,1704760,681904,2045713,2996119,1022856,2727617,1704761
2942,25623913,9061790,3678587,1704620,681848,2045545,2996737,1022772,2727393,1704621
2943,25660017,9074419,3683669,1707085,682834,2048503,3000833,1024251,2731337,1707086
2944,25674909,9079225,3685472,1708285,683314,2049943,3002156,1024971,2733257,1708286
