Number of digits (n),Total Primitive Operations,Assignments,Comparisons,Additions,Subtractions,Multiplications,Divisions,Modulos,MethodCalls,Returns
93,106625,37492,15153,7190,2876,8629,12275,4314,11505,7191
94,108233,38065,15387,7295,2918,8755,12467,4377,11673,7296
95,110513,38864,15709,7450,2980,8941,12727,4470,11921,7451
96,115169,40499,16369,7765,3106,9319,13261,4659,12425,7766
97,112945,39761,16085,7595,3038,9115,13045,4557,12153,7596
98,118413,41637,16828,7985,3194,9583,13632,4791,12777,7986
99,113925,40141,16250,7645,3058,9175,13190,4587,12233,7646
100,122693,43117,17418,8285,3314,9943,14102,4971,13257,8286
101,121977,42913,17351,8215,3286,9859,14063,4929,13145,8216
102,119997,42264,17104,8060,3224,9673,13878,4836,12897,8061
103,127109,44720,18082,8560,3424,10273,14656,5136,13697,8561
104,127757,44967,18188,8595,3438,10315,14748,5157,13753,8596
105,128221,45100,18232,8640,3456,10369,14774,5184,13825,8641
106,130005,45750,18502,8750,3500,10501,15000,5250,14001,8751
107,134113,47166,19065,9040,3616,10849,15447,5424,14465,9041
108,138721,48766,19705,9360,3744,11233,15959,5616,14977,9361
109,139105,48936,19785,9370,3748,11245,16035,5622,14993,9371
110,138693,48785,19722,9345,3738,11215,15982,5607,14953,9346
111,137729,48501,19625,9255,3702,11107,15921,5553,14809,9256
112,144329,50789,20539,9715,3886,11659,16651,5829,15545,9716
113,146845,51629,20864,9905,3962,11887,16900,5943,15849,9906
114,151217,53166,21485,10200,4080,12241,17403,6120,16321,10201
115,153841,54093,21861,10375,4150,12451,17709,6225,16601,10376
116,152429,53618,21676,10270,4108,12325,17566,6162,16433,10271
117,150609,53049,21469,10115,4046,12139,17421,6069,16185,10116
118,157217,55308,22361,10590,4236,12709,18123,6354,16945,10591
119,153081,53900,21807,10290,4116,12349,17689,6174,16465,10291
120,159773,56234,22744,10750,4300,12901,18442,6450,17201,10751
121,165209,58116,23495,11130,4452,13357,19041,6678,17809,11131
122,170341,59890,24202,11490,4596,13789,19604,6894,18385,11491
123,172389,60639,24514,11615,4646,13939,19866,6969,18585,11616
124,174033,61208,24741,11730,4692,14077,20047,7038,18769,11731
125,173845,61169,24734,11705,4682,14047,20050,7023,18729,11706
126,175101,61632,24928,11780,4712,14137,20214,7068,18849,11781
127,176753,62238,25181,11880,4752,14257,20427,7128,19009,11881
128,176685,62215,25172,11875,4750,14251,20420,7125,19001,11876
129,182661,64290,26002,12290,4916,14749,21084,7374,19665,12291
